"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.501 0.533 0.492 0.504 0.212 0.019 0.241 0.231 141 157 1231094
0.505 0.537 0.51 0.503 0 0.026 0.331 0.231 204 178 1231095
0.499 0.532 0.51 0.496 0 0.027 0.288 0.242 264 222 1231096
0.499 0.534 0.505 0.487 0 0.036 0.285 0.265 257 210 1231097
0.501 0.531 0.518 0.509 0.035 -0.006 0.294 0.224 138 114 1231098
0.478 0.53 0.485 0.484 0.094 0.036 0.128 0.361 148 221 1231099
0.478 0.52 0.446 0.352 0 0.08 0.099 0.249 146 229 1231100
0.485 0.527 0.475 0.439 0 0.051 0.137 0.344 220 291 1231101
0.479 0.528 0.479 0.384 0.075 0.103 0.071 0.39 198 324 1231102
0.465 0.513 0.502 0.477 0 0.039 0.284 0.245 161 164 1231103
0.478 0.525 0.527 0.485 0.104 0.077 0.152 0.394 105 269 1231104
0.474 0.522 0.467 0.402 0.041 0.06 0.155 0.372 118 267 1231105
0.489 0.531 0.482 0.437 0 0.053 0.154 0.344 192 300 1231106
0.477 0.53 0.482 0.391 0 0.103 0.036 0.426 140 385 1231107
0.477 0.521 0.508 0.471 0 0.046 0.123 0.369 138 167 1231108
0.501 0.604 0.57 0.477 0.201 0.082 0.278 0.317 227 270 1231109
0.493 0.58 0.528 0.415 0.095 0.107 0.251 0.161 288 304 1231110
0.502 0.607 0.573 0.41 0.045 0.127 0.33 0.329 351 360 1231111
0.498 0.604 0.568 0.423 0.186 0.105 0.219 0.353 319 356 1231112
0.512 0.601 0.582 0.491 0.068 0.063 0.299 0.25 234 227 1231113
0.566 0.618 0.602 0.562 0.098 0.06 0.243 0.302 201 249 1231114
0.572 0.627 0.603 0.544 0.039 0.066 0.24 0.305 203 265 1231115
0.571 0.629 0.582 0.533 0.073 0.077 0.17 0.457 275 392 1231116
0.571 0.633 0.607 0.52 0.075 0.109 0.119 0.491 237 412 1231117
0.566 0.615 0.595 0.56 0.113 0.048 0.254 0.275 192 176 1231118
0.564 0.637 0.607 0.304 0.027 0.178 0.086 0.539 145 378 1231119
0.557 0.63 0.605 0.31 0.137 0.186 0.189 0.469 132 370 1231120
0.566 0.642 0.611 0.413 0.054 0.192 0.161 0.497 206 498 1231121
0.567 0.646 0.594 0.361 0.055 0.209 0.051 0.569 156 559 1231122
0.556 0.633 0.609 0.392 0.036 0.159 0.189 0.465 140 260 1231123
0.317 0.393 0.379 0.293 0.095 0.09 0.217 0.202 229 313 1231124
0.32 0.401 0.35 0.241 0.13 0.114 0.195 0.12 304 338 1231125
0.322 0.405 0.379 0.248 0.068 0.126 0.157 0.252 372 430 1231126
0.319 0.409 0.386 0.237 0.075 0.146 0.165 0.233 353 448 1231127
0.328 0.391 0.386 0.288 0.063 0.104 0.259 0.186 216 198 1231128
0.403 0.434 0.402 0.39 0.011 0.05 0.172 0.305 195 304 1231129
0.407 0.44 0.425 0.388 0.071 0.043 0.194 0.263 207 336 1231130
0.409 0.442 0.427 0.365 0.099 0.085 0.172 0.325 298 432 1231131
0.404 0.436 0.408 0.34 0 0.085 0.07 0.335 234 476 1231132
0.401 0.427 0.413 0.394 0 0.014 0.271 0.305 178 120 1231133
0.419 0.467 0.451 0.195 0.093 0.223 0.078 0.376 122 416 1231134
0.415 0.466 0.439 0.234 0.062 0.188 0.176 0.345 125 462 1231135
0.418 0.473 0.454 0.247 0.104 0.199 0.118 0.374 200 574 1231136
0.414 0.468 0.447 0.255 0.09 0.217 0.038 0.414 135 647 1231137
0.406 0.458 0.423 0.276 0.085 0.14 0.193 0.338 124 291 1231138
0.489 0.587 0.555 0.491 0.066 0.071 0.273 0.3 168 196 1231139
0.484 0.582 0.493 0.409 0.065 0.109 0.375 0.24 210 272 1231140
0.492 0.598 0.54 0.449 0.084 0.089 0.234 0.319 270 282 1231141
0.487 0.598 0.518 0.379 0.045 0.149 0.214 0.345 240 301 1231142
0.501 0.592 0.559 0.439 0.024 0.091 0.367 0.235 159 146 1231143
0.563 0.626 -0.007 -0.004 0 0.005 0.004 0.004 139 162 1231144
0.565 0.624 0.579 0.531 0.05 0.064 0.257 0.371 159 190 1231145
0.57 0.632 0.585 0.498 0.019 0.103 0.219 0.451 208 239 1231146
0.563 0.629 0.573 0.496 0 0.088 0.128 0.449 192 260 1231147
0.555 0.62 0.6 0.556 0.07 0.065 0.239 0.286 154 154 1231148
0.553 0.64 0.592 0.397 0.08 0.183 0.173 0.462 104 249 1231149
0.554 0.635 0.587 0.305 0.043 0.22 0.164 0.444 108 260 1231150
0.564 0.646 0.59 0.388 0.008 0.206 0.138 0.465 175 334 1231151
0.556 0.646 0.586 0.304 0.041 0.249 0.078 0.533 115 429 1231152
0.553 0.632 0.605 0.321 0.095 0.173 0.138 0.47 100 216 1231153
0.322 0.405 0.38 0.265 0.016 0.112 0.207 0.208 193 277 1231154
0.325 0.402 0.359 0.236 0.073 0.119 0.215 0.14 254 327 1231155
0.317 0.412 0.381 0.222 0.029 0.161 0.187 0.177 347 379 1231156
0.322 0.403 0.36 0.206 0.033 0.152 0.143 0.215 305 382 1231157
0.316 0.387 0.371 0.272 0.054 0.099 0.201 0.172 208 203 1231158
0.401 0.438 0.43 0.378 0.033 0.072 0.17 0.233 169 233 1231159
0.403 0.437 0.407 0.332 0 0.099 0.145 0.212 162 282 1231160
0.404 0.442 0.403 0.3 0 0.122 0.087 0.316 229 361 1231161
0.402 0.441 0.403 0.289 0 0.131 0.074 0.329 164 399 1231162
0.395 0.432 0.417 0.362 0 0.071 0.133 0.266 175 213 1231163
0.413 0.473 0.444 0.224 0.021 0.242 0.072 0.366 111 344 1231164
0.402 0.455 0.405 0.158 0.046 0.151 0.113 0.323 102 378 1231165
0.415 0.469 0.393 0.158 0.013 0.243 0.085 0.31 176 504 1231166
0.412 0.471 0.431 0.155 0.019 0.293 0.036 0.401 81 586 1231167
0.398 0.454 0.438 0.255 0 0.155 0.094 0.366 102 234 1231168
0.516 0.539 0.536 0.536 0.469 -0.003 0.286 0.157 25 13 1231169
0.51 0.534 0.531 0.529 0.293 0.008 0.224 0.084 26 14 1231170
0.515 0.537 0.535 0.528 0.484 0.02 0.342 0.444 38 15 1231171
0.508 0.532 0.527 0.524 0.496 0.007 0.215 0.435 27 19 1231172
0.503 0.532 0.525 0.523 0.21 -0.002 0.163 0.098 22 14 1231173
0.48 0.53 0.511 0.503 0.192 0.007 0.142 0.389 29 16 1231174
0.484 0.524 0.512 0.502 0.145 0.01 0.282 0.325 37 18 1231175
0.49 0.529 0.503 0.495 0.376 0.008 0.163 0.434 30 19 1231176
0.481 0.526 0.508 0.493 0.426 0.014 0.07 0.403 31 26 1231177
0.477 0.52 0.516 0.516 0.358 -0.003 0.394 0.077 17 10 1231178
0.477 0.52 0.515 0.511 0.371 0.005 0.144 0.403 20 12 1231179
0.479 0.522 0.5 0.494 0.229 0.01 0.14 0.252 33 20 1231180
0.488 0.529 0.51 0.501 0.409 0.006 0.098 0.393 34 24 1231181
0.483 0.525 0.511 0.507 0.404 0.008 0.115 0.369 27 26 1231182
0.463 0.513 0.5 0.501 0.108 -0.005 0.236 0.317 29 13 1231183
0.498 0.594 0.576 0.403 0.338 0.077 0.276 0.255 39 41 1231184
0.498 0.592 0.543 0.43 0.421 0.07 0.406 0.345 44 44 1231185
0.506 0.603 0.579 0.463 0.472 0.079 0.189 0.283 61 46 1231186
0.503 0.606 0.579 0.421 0.493 0.109 0.395 0.432 43 63 1231187
0.519 0.607 0.547 0.48 0.197 0.072 0.364 0.101 37 30 1231188
0.58 0.633 0.626 0.618 0.508 0.015 0.205 0.544 37 25 1231189
0.568 0.628 0.606 0.609 0.31 0.001 0.36 0.35 43 21 1231190
0.576 0.631 0.621 0.615 0.411 0.008 0.272 0.475 54 28 1231191
0.57 0.629 0.602 0.578 0.497 0.035 0.199 0.457 41 49 1231192
0.567 0.625 0.615 0.612 0.411 0.005 0.381 0.397 29 9 1231193
0.555 0.639 0.622 0.429 0.478 0.122 0.096 0.561 28 40 1231194
0.563 0.646 0.586 0.399 0.432 0.107 0.278 0.478 31 36 1231195
0.57 0.647 0.625 0.401 0.519 0.141 0.07 0.484 42 50 1231196
0.569 0.647 0.632 0.417 0.515 0.146 0.039 0.483 37 50 1231197
0.549 0.633 0.622 0.448 0.38 0.151 0.228 0.465 32 37 1231198
0.316 0.402 0.381 0.209 0.196 0.113 0.202 0.119 35 52 1231199
0.328 0.408 0.308 0.163 0.093 0.099 0.176 0.164 41 61 1231200
0.326 0.413 0.39 0.251 0.296 0.102 0.263 0.2 61 46 1231201
0.32 0.404 0.385 0.242 0.286 0.118 0.138 0.241 63 65 1231202
0.334 0.408 0.392 0.287 0.144 0.067 0.143 0.219 33 29 1231203
0.404 0.433 0.425 0.409 0.295 0.026 0.097 0.227 33 33 1231204
0.401 0.435 0.42 0.406 0.305 0.02 0.217 0.356 52 39 1231205
0.408 0.438 0.423 0.41 0.307 0.02 0.1 0.286 52 42 1231206
0.408 0.44 0.416 0.399 0.339 0.022 0.05 0.347 54 52 1231207
0.396 0.432 0.426 0.42 0.27 0.007 0.199 0.325 37 20 1231208
0.414 0.469 0.455 0.391 0.313 0.072 0.162 0.437 34 44 1231209
0.409 0.461 0.445 0.171 0.34 0.178 0.078 0.284 30 54 1231210
0.417 0.477 0.459 0.257 0.306 0.171 0.066 0.343 39 80 1231211
0.415 0.476 0.417 0.298 0.299 0.105 0.003 0.384 30 84 1231212
0.404 0.458 0.451 0.152 0.345 0.126 0.176 0.355 18 33 1231213
0.501 0.597 0.586 0.438 0.28 0.098 0.319 0.276 19 16 1231214
0.5 0.597 0.559 0.477 0.302 0.059 0.398 0.401 19 13 1231215
0.503 0.603 0.573 0.408 0.535 0.127 0.361 0.304 23 21 1231216
0.5 0.601 0.585 0.511 0.55 0.058 0.226 0.211 25 12 1231217
0.509 0.593 0.588 0.41 0.233 0.124 0.348 0.281 18 14 1231218
0.565 0.621 0.587 0.589 0.402 -0.001 0.301 0.277 19 2 1231219
0.564 0.621 0.615 0.609 0.458 0.004 0.384 0.493 23 5 1231220
0.571 0.627 0.616 0.576 0.495 0.041 0.396 0.496 22 10 1231221
0.569 0.629 0.624 0.607 0.534 0.024 0.12 0.551 24 11 1231222
0.558 0.62 0.615 0.61 0.292 0.007 0.359 0.188 19 3 1231223
0.559 0.638 0.628 0.428 0.508 0.133 0.018 0.487 17 10 1231224
0.555 0.634 0.62 0.468 0.507 0.128 0.206 0.426 18 15 1231225
0.571 0.644 0.636 0.562 0.56 0.073 0.168 0.43 20 10 1231226
0.567 0.647 0.643 0.339 0.565 0.206 0.126 0.495 16 21 1231227
0.539 0.626 0.614 0.411 0.463 0.165 0.211 0.382 15 12 1231228
0.316 0.4 0.372 0.216 0.134 0.11 0.186 0.127 13 29 1231229
0.32 0.4 0.33 0.22 0.141 0.074 0.191 0.162 26 19 1231230
0.32 0.396 0.371 0.207 0.282 0.127 0.191 0.122 25 23 1231231
0.316 0.397 0.368 0.195 0.321 0.111 0.164 0.296 26 21 1231232
0.321 0.393 0.376 0.204 0.081 0.103 0.189 0.227 19 22 1231233
0.399 0.435 0.423 0.42 0.23 0.004 0.157 0.353 18 9 1231234
0.393 0.433 0.329 0.319 0.183 0.013 0.22 0.16 24 12 1231235
0.403 0.441 0.427 0.424 0.282 0.003 0.12 0.348 22 13 1231236
0.403 0.441 0.434 0.417 0.364 0.024 0.037 0.239 22 16 1231237
0.402 0.438 0.435 0.434 0.162 -0.002 0.248 0.237 22 6 1231238
0.416 0.469 0.447 0.3 0.365 0.13 0.215 0.382 14 22 1231239
0.403 0.454 0.438 0.196 0.332 0.192 0.2 0.319 17 23 1231240
0.408 0.468 0.446 0.219 0.343 0.188 0.099 0.402 15 36 1231241
0.409 0.472 0.429 0.196 0.365 0.176 0.09 0.337 14 31 1231242
0.386 0.441 0.426 0.237 0.328 0.174 0.027 0.24 16 29 1231243
0.504 0.526 0.526 0.526 0.526 0 0.147 0.138 4 0 1231244
0.513 0.533 0.533 0.533 0.387 0 0.182 0.109 6 0 1231245
0.516 0.532 0.532 0.496 0.532 0.011 0.332 0.382 4 1 1231246
0.515 0.531 0.531 0.531 0.531 0 0.213 0.425 8 0 1231247
0.495 0.508 0.508 0.508 0.264 0 0.353 0.321 5 0 1231248
0.473 0.504 0.504 0.504 0.504 0 0.205 0.262 4 0 1231249
0.475 0.505 0.505 0.505 0.505 0 0.237 0.296 4 0 1231250
0.499 0.53 0.53 0.53 0.531 0 0.253 0.32 6 0 1231251
0.475 0.515 0.515 0.515 0.495 0 0 0.515 4 0 1231252
0.466 0.508 0.508 0.435 0.432 0.01 0 0.251 3 1 1231253
0.479 0.521 0.504 0.504 0.405 0 0 0.504 4 0 1231254
0.488 0.528 0.528 0.528 0.389 0 0.163 0.517 6 0 1231255
0.498 0.529 0.529 0.529 0.457 0 0.383 0.305 7 0 1231256
0.488 0.532 0.387 0.387 0.387 0 0 0.387 5 0 1231257
0.476 0.514 0.514 0.514 0.384 0 0.012 0.5 5 0 1231258
0.472 0.572 0.572 0.483 0.473 0.067 0.502 0.084 8 3 1231259
0.474 0.555 0.555 0.451 0.367 0.051 0.197 0.153 9 4 1231260
0.505 0.586 0.584 0.515 0.58 0.046 0.165 0.323 12 3 1231261
0.486 0.584 0.483 0.336 0.471 0.088 0.236 0.265 9 6 1231262
0.478 0.57 0.57 0.521 0.364 0.04 0.403 0.338 7 2 1231263
0.565 0.627 0.627 0.627 0.623 0 0.089 0.446 7 0 1231264
0.558 0.612 0.612 0.612 0.606 0 0.101 0.414 8 0 1231265
0.563 0.614 0.612 0.612 0.602 0 0.314 0.542 10 0 1231266
0.572 0.637 0.637 0.614 0.613 0.017 0.344 0.365 7 2 1231267
0.54 0.611 0.609 0.609 0.486 0 0.27 0.196 6 0 1231268
0.55 0.629 0.629 0.629 0.583 -0.001 0.133 0.435 7 1 1231269
0.523 0.609 0.609 0.507 0.507 0 0.099 0.437 5 1 1231270
0.577 0.649 0.649 0.596 0.589 0.018 0.28 0.195 7 2 1231271
0.569 0.644 0.643 0.643 0.622 0 0.129 0.643 9 1 1231272
0.551 0.63 0.516 0.346 0.444 0.108 0.227 0.32 7 4 1231273
0.3 0.366 0.35 0.212 0.23 0.056 0.256 0.015 7 5 1231274
0.293 0.358 0.27 0.27 0.27 0 0.07 0.029 3 0 1231275
0.328 0.402 0.384 0.208 0.384 0.133 0.11 0.054 7 7 1231276
0.329 0.404 0.399 0.269 0.397 0.06 0.313 0.142 5 7 1231277
0.269 0.359 0.334 0.243 0.242 0.079 0.098 0.085 4 4 1231278
0.401 0.439 0.439 0.439 0.436 0 0.181 0.208 7 0 1231279
0.398 0.432 0.432 0.432 0.372 0 0.196 0.05 7 0 1231280
0.391 0.421 0.318 0.311 0.387 0.008 0.031 0.243 7 2 1231281
0.385 0.424 0.423 0.423 0.423 0 -0.086 0.403 8 0 1231282
0.402 0.436 0.436 0.436 0.225 0 0.266 0.149 8 0 1231283
0.389 0.429 0.429 0.429 0.427 0 0.21 0.382 6 0 1231284
0.408 0.455 0.456 0.456 0.45 0 0.051 0.299 7 1 1231285
0.414 0.457 0.457 0.431 0.45 0.032 0.167 0.345 7 2 1231286
0.414 0.469 0.463 0.331 0.461 0.121 0 0.461 6 5 1231287
0.392 0.444 0.44 0.44 0.347 0 0.121 0.18 6 0 1231288
0.462 0.55 0.55 0.436 0.436 0.058 0.096 0.358 5 4 1231289
0.437 0.546 0.516 0.436 0.394 0.03 0.358 0.254 7 4 1231290
0.47 0.563 0.563 0.523 0.554 0.019 0 0.087 7 2 1231291
0.492 0.602 0.591 0.558 0.591 0.023 0.072 0.516 7 4 1231292
0.492 0.58 0.577 0.382 0.267 0.096 0.167 0.024 3 7 1231293
0.506 0.6 0.573 0.573 0.533 0 0.091 0.376 8 0 1231294
0.573 0.626 0.626 0.626 0.626 0 0.385 0.235 6 0 1231295
0.573 0.63 0.63 0.63 0.612 0 0.065 0.389 7 0 1231296
0.552 0.627 0.627 0.627 0.627 0 0.163 0.309 7 0 1231297
0.555 0.614 0.435 0.435 0.323 0 0.334 0.089 8 0 1231298
0.542 0.628 0.62 0.617 0.617 -0.003 0.032 0.28 5 1 1231299
0.537 0.641 0.641 0.641 0.641 0 0 0.313 5 0 1231300
0.541 0.627 0.627 0.425 0.498 0.134 0.041 0.202 4 4 1231301
0.542 0.636 0.636 0.614 0.614 0.025 0.069 0.373 6 2 1231302
0.511 0.616 0.616 0.483 0.49 0.091 0.053 0.459 6 4 1231303
0.297 0.369 0.356 0.243 0.339 0.096 0.226 0.192 5 5 1231304
0.275 0.332 0.327 0.069 0.298 0.222 0.002 0.168 3 9 1231305
