seed gen sympatric allopatric local_adapt mean_phen0 mean_phen1 cor_sal_popmean cor_temp_popeman cor_sal_ind cor_temp_ind
1231094 100 0.993635 0.993635 2.5091e-14 0 -0.00700018 NAN -0.0917751 NAN NAN
1231094 200 0.990204 0.990204 1.17684e-14 0 -0.00260572 NAN -0.0908288 NAN NAN
1231094 300 0.98827 0.98827 -2.17604e-14 0 0.0119802 NAN -0.0833064 NAN NAN
1231094 400 0.987999 0.987999 6.43929e-15 0 -0.000568914 NAN -0.169722 NAN NAN
1231094 500 0.984408 0.984408 8.77076e-15 0 -0.00862679 NAN 0.255485 NAN NAN
1231094 600 0.982904 0.982904 4.69624e-14 0 -0.0010184 NAN 0.411788 NAN NAN
1231094 700 0.982462 0.982462 1.44329e-15 0 0.00435546 NAN 0.135497 NAN NAN
1231094 800 0.98266 0.98266 -5.93969e-14 0 -0.00069965 NAN -0.19179 NAN NAN
1231094 900 0.981977 0.981977 3.88578e-15 0 -0.00123564 NAN -0.534672 NAN NAN
1231094 1000 0.980164 0.980164 -1.22125e-15 0 -0.00798568 NAN 0.230903 NAN NAN
1231094 1100 0.979126 0.968113 0.0110132 0 -0.00114104 NAN 0.853695 NAN 0.325685
1231094 1200 0.975375 0.93147 0.0439052 0 -0.00252253 NAN 0.96452 NAN 0.565807
1231094 1300 0.971909 0.874828 0.0970806 0 -0.00365572 NAN 0.97877 NAN 0.739748
1231094 1400 0.974042 0.800985 0.173057 0 0.00443238 NAN 0.993936 NAN 0.829785
1231094 1500 0.971865 0.73023 0.241635 0 0.000200895 NAN 0.995599 NAN 0.882181
1231094 1600 0.968831 0.659729 0.309102 0 0.000964921 NAN 0.995709 NAN 0.913574
1231094 1700 0.967132 0.600716 0.366416 0 0.00534362 NAN 0.997283 NAN 0.928706
1231094 1800 0.967317 0.543616 0.423702 0 -0.00449925 NAN 0.998318 NAN 0.945078
1231094 1900 0.96407 0.50057 0.4635 0 -0.00495544 NAN 0.998294 NAN 0.952913
1231094 2000 0.96364 0.463339 0.500301 0 0.00193822 NAN 0.998975 NAN 0.959287
1231094 2100 0.963226 0.456581 0.506645 0 0.00152284 NAN 0.998664 NAN 0.961526
1231094 2200 0.961905 0.458046 0.503859 0 -0.00779223 NAN 0.998466 NAN 0.959387
1231094 2300 0.961971 0.456837 0.505134 0 -0.00433773 NAN 0.998524 NAN 0.958872
1231094 2400 0.959166 0.457503 0.501662 0 -0.0108903 NAN 0.998283 NAN 0.956459
1231094 2500 0.960073 0.457385 0.502688 0 -0.0071458 NAN 0.998316 NAN 0.958003
1231094 2600 0.959391 0.457495 0.501896 0 -0.00730812 NAN 0.998498 NAN 0.955932
1231094 2700 0.9614 0.456156 0.505244 0 -0.0016655 NAN 0.99893 NAN 0.957113
1231094 2800 0.957447 0.457261 0.500185 0 0.00544154 NAN 0.998892 NAN 0.953345
1231094 2900 0.959849 0.459076 0.500773 0 0.00350607 NAN 0.998567 NAN 0.954372
1231094 3000 0.959414 0.45856 0.500854 0 -0.00352221 NAN 0.99841 NAN 0.954579
