"seed" "subpopID" "indID" "indSubpopIndex" "subpop" "phen_sal" "phen_temp" "sal_opt" "temp_opt" "fitness" "subset" "N" "opt0" "opt1" "x" "y" "PC1" "PC2" "PC3" "LFMM_U1_temp" "LFMM_U1_sal" "LFMM_U2_temp" "LFMM_U2_sal" "RDA1" "RDA2" "RDA1_corr" "RDA2_corr" "RDA_PC1" "RDA_PC2" "RDA_PC1_corr" "RDA_PC2_corr" "RDA_predict_tempPhen_20KSNPs" "RDA_predict_salPhen_20KSNPs" "RDA_predict_tempPhen_20KSNPs_structcorr" "RDA_predict_salPhen_20KSNPs_structcorr"
"1" "1231094" 1 0 0 1 0 -0.918613 -1 -1 0.98684 TRUE 10 -1 -1 1 1 78.4495 52.8257 -34.0752 30.4675452416929 54.5980263418235 -15.4095221755616 32.4757019892931 -2.48663458772137 -4.33136662569871 -5.09762118714123 -4.41836165815624 -2.98557491952772 2.59620240378229 -0.674846144494079 4.33177025678525 -2539.25328948558 -76.5030793693324 -29.7819653049484 -69.2577005007982
"2" "1231094" 1 1 1 1 0 -1.12166 -1 -1 0.970833 TRUE 10 -1 -1 1 1 81.5352 53.1913 -31.8814 31.3147174084586 57.1219038836728 -13.5208934943964 33.433689137835 -2.5996356616556 -2.4885659244637 -4.83574960487068 -2.55492910423047 -3.06485858825653 2.36005203806057 -0.370987238789347 4.33596938147235 -2635.15215258453 -45.3280554669794 -28.5590182512802 -37.8277795827338
"3" "1231094" 1 2 2 1 0 -1.06645 -1 -1 0.991208 TRUE 10 -1 -1 1 1 77.143 52.4251 -32.7576 31.4390419557381 54.406985698093 -14.4220165122449 33.4484966482838 -2.47687688619909 -4.27712367162249 -4.77715112784373 -4.34238232706678 -3.07589484474711 2.47377180236883 -0.697061629530314 3.88927022083727 -2500.12441320986 -76.2651521156134 -27.9126711165965 -69.039466164111
"4" "1231094" 1 3 3 1 0 -1.02841 -1 -1 0.998387 TRUE 10 -1 -1 1 1 77.3321 50.6864 -33.0256 29.1938156732385 53.9645026296124 -14.1419732722721 31.1837220205732 -2.45726442815296 -3.54214384536794 -4.95694056156157 -3.62778114178156 -2.86737731616925 2.43825021603654 -0.788286209195892 3.76419528045995 -2474.02763890846 -59.2892487143794 -29.2342783951562 -52.2768990370044
"5" "1231094" 1 4 4 1 0 -1.02484 -1 -1 0.998767 TRUE 10 -1 -1 1 1 82.0148 53.6419 -30.2136 31.858279329537 57.935755726917 -12.3451310021515 34.0173039835959 -2.63459183705428 -2.65521157511912 -4.46966154819819 -2.69899341601085 -3.11535025692779 2.21433428376786 -0.294533952024592 4.15082739405317 -2670.01565942094 -47.9036172894332 -26.8719011794749 -40.2842472692027
"6" "1231094" 1 5 5 1 0 -1.0428 -1 -1 0.996343 TRUE 10 -1 -1 1 1 81.3703 54.2424 -33.9637 32.3625423132557 57.3627077940787 -15.0864533742383 34.4848950866953 -2.61184148054516 -2.29718487694508 -5.15385907478672 -2.37412494430219 -3.16233571662737 2.5539692103565 -0.424605898106567 4.90061915481957 -2637.02164423013 -42.7905927870079 -30.3616763333696 -35.243496521353
"7" "1231094" 1 6 6 1 0 -0.898608 -1 -1 0.979649 TRUE 10 -1 -1 1 1 82.6424 51.3832 -31.9618 29.4206476463578 57.9130604119738 -13.4085246418303 31.5756892886349 -2.63272391558181 -2.46304086557704 -4.52292806008502 -2.52159244681066 -2.88879042995137 2.34602283389464 -0.0175766746848268 4.12759740895476 -2659.48513460759 -44.1610373376498 -27.1516587915561 -36.7433806099976
"8" "1231094" 1 7 7 1 0 -1.23308 -1 -1 0.897039 TRUE 10 -1 -1 1 1 80.2969 55.3485 -33.0875 32.8727193572123 56.3577579976491 -14.0345961068243 34.9527992353504 -2.56691835964784 -3.80609768277338 -5.08729668982392 -3.87933042827287 -3.20932640168296 2.4250963462021 -0.814401458954008 4.84490676474531 -2600.83019588852 -64.2513006036615 -29.8667681649758 -56.7292048981722
"9" "1231094" 1 8 8 1 0 -0.991884 -1 -1 0.999868 TRUE 10 -1 -1 1 1 77.0245 51.3829 -29.1293 29.9996819754988 53.6541543178279 -11.9167549915804 31.9855913808958 -2.44141522361822 -4.99081288790457 -4.34523473436453 -5.04266886840721 -2.94187389939674 2.16378548546927 -0.86955880292922 3.33580176766477 -2478.85389101818 -85.5811678040307 -25.4309348944221 -78.4915876495126
"10" "1231094" 1 9 9 1 0 -0.981998 -1 -1 0.999352 TRUE 10 -1 -1 1 1 77.8695 48.7819 -28.2913 27.8865329529616 54.2613472359611 -10.6182900042283 29.9137306477089 -2.46494430239572 -3.3870673016782 -3.80992295633838 -3.41981459984405 -2.74587517724357 2.00112552369444 -0.463023547472101 2.61070201155474 -2484.20210163155 -59.5103463364091 -22.520637297298 -52.4978602131603
