seed ind_index x y phenotype1_mat phenotype2_MTWetQ phenotype3_MTDQ phenotype4_PDM phenotype5_PwarmQ phenotype6_PWM env1_mat env2_MTWetQ env3_MTDQ env4_PDM env5_PwarmQ env6_PWM
892657863 0 0.733354 0.099541 -0.123582 -0.30668 0.731776 0.46179 -0.037517 0.472673 0.0262576 -0.304298 0.644877 0.492601 -0.0528437 0.428054
892657863 1 0.728865 0.192011 0.015548 -0.430877 0.100417 0.537743 -0.00966542 0.520782 -0.0188616 -0.326385 0.120382 0.479346 -0.0102088 0.466314
892657863 2 0.370838 0.424631 0.274981 -0.283358 0.0250827 -0.105303 -0.22063 -0.287988 0.356204 -0.25927 0.0851666 -0.147733 -0.260494 -0.340027
892657863 3 0.267083 0.769019 0.0255684 -0.301724 0.0207409 0.5693 0.375097 0.272836 0.063202 -0.309496 0.172667 0.526258 0.372016 0.313286
892657863 4 0.642661 0.776228 -0.4432 0.231196 -0.41906 0.0802502 0.238734 -0.0212566 -0.408326 0.23255 -0.378978 -0.0424752 0.213094 -0.0580471
892657863 5 0.959262 0.20879 -0.188295 -0.0365598 0.0570135 0.104074 -0.0601834 -0.0418681 -0.201062 0.0714637 0.160662 0.102604 -0.0157558 0.0338467
892657863 6 0.633256 0.225091 0.0326605 -0.354155 0.27963 0.608574 0.135907 0.784968 0.0168123 -0.316117 0.146822 0.553179 0.0649978 0.762655
892657863 7 0.201041 0.0916707 0.360919 -0.200294 0.160416 -0.13149 -0.562761 -0.177079 0.43828 -0.205383 0.404344 -0.119452 -0.619034 -0.136074
892657863 8 0.115379 0.3902 0.302283 0.369947 -0.00388701 -0.447132 -0.532913 -0.485537 0.432753 0.406327 0.0780406 -0.470137 -0.526886 -0.522254
892657863 9 0.0839986 0.0382506 0.163337 -0.212206 0.767262 0.243419 -0.419047 0.538474 0.156964 -0.236408 0.846986 0.211275 -0.380353 0.625609
892657863 10 0.606593 0.831328 -0.35683 0.245479 -0.439909 -0.0704008 0.171814 -0.101486 -0.307143 0.260385 -0.319764 -0.0604014 0.166543 -0.0900105
892657863 11 0.85155 0.0821482 0.00110029 -0.392321 0.313017 0.247981 -0.153482 -0.0598739 -0.076841 -0.35045 0.309154 0.239878 -0.155368 -0.0825237
892657863 12 0.5411 0.303883 0.337467 -0.146838 0.229649 0.339372 0.0817746 0.491532 0.382388 -0.239907 0.359696 0.401448 0.0122902 0.48799
892657863 13 0.684737 0.118572 -0.0769623 -0.405831 0.320934 0.500712 0.00183324 0.506551 -0.0992147 -0.333312 0.377174 0.562345 0.016269 0.515023
892657863 14 0.633128 0.896904 -0.00625059 0.417626 -0.260804 -0.257251 0.161445 -0.0721425 -0.0273196 0.352562 -0.17501 -0.284606 0.148504 -0.10295
892657863 15 0.898944 0.116152 0.0887906 -0.193415 -0.131637 0.00740004 -0.170672 -0.143596 0.12183 -0.319556 -0.0958196 0.0179283 -0.199692 -0.174189
892657863 16 0.148983 0.260363 0.231186 -0.281213 -0.195026 -0.304876 -0.43679 -0.372601 0.145992 -0.282722 -0.0577769 -0.261733 -0.483855 -0.377372
892657863 17 0.640391 0.108148 0.274108 -0.349065 0.29366 0.512983 0.0149787 0.452036 0.224457 -0.253935 0.24569 0.504703 0.0010855 0.556799
892657863 18 0.356272 0.689203 -0.124059 -0.420625 0.0767137 0.334177 0.14628 0.170917 -0.0241267 -0.340105 0.128588 0.344895 0.154249 0.191329
892657863 19 0.67184 0.297283 -0.00689962 -0.348558 0.240138 0.600715 0.1501 0.831597 -0.0758917 -0.35 0.2797 0.623464 0.132123 0.903203
892657863 20 0.626771 0.00580621 0.0241018 -0.16026 0.00189674 0.336669 -0.0994443 0.0420071 0.0815949 -0.287857 -0.108011 0.374577 -0.092882 0.158904
892657863 21 0.860457 0.235475 -0.191401 0.214136 -0.339307 0.165881 -0.0105931 -0.0735109 -0.333664 0.172921 -0.35408 0.211275 -0.0297787 -0.0762486
892657863 22 0.802141 0.126385 -0.247512 -0.40421 0.655439 0.398094 -0.00985669 0.080366 -0.240842 -0.37635 0.695995 0.455784 -0.0648361 0.0888943
892657863 23 0.139246 0.0040001 0.163337 -0.212206 0.767262 0.243419 -0.419047 0.538474 0.119626 -0.246335 0.834598 0.183518 -0.394831 0.544678
892657863 24 0.600457 0.0707715 0.143047 -0.244073 0.195961 0.302581 -0.0537581 0.201335 0.114474 -0.281995 0.180072 0.338117 -0.0849738 0.188241
892657863 25 0.626624 0.264357 -0.0464598 -0.342961 0.200646 0.592856 0.164293 0.878227 0.0338563 -0.31831 0.172588 0.590478 0.102849 0.879699
892657863 26 0.365262 0.244227 0.410794 0.361515 0.131534 -0.31266 -0.479521 -0.576858 0.358853 0.442645 0.0523956 -0.355737 -0.490725 -0.556138
892657863 27 0.889405 0.350653 -0.222334 0.222913 -0.307664 0.0210429 0.0837156 -0.0743456 -0.254103 0.204408 -0.319764 -0.0332338 0.0122902 -0.0487248
892657863 28 0.670865 0.41538 -0.354052 -0.421965 -0.0387384 0.411964 0.119528 0.529147 -0.412387 -0.430052 -0.0188142 0.522303 0.190142 0.514912
892657863 29 0.633626 0.0432765 0.149105 -0.254662 0.147778 0.424826 -0.0422328 0.247021 0.173445 -0.262094 0.211535 0.401448 -0.0722437 0.264417
892657863 30 0.0443039 0.131787 0.176748 -0.291057 0.892542 0.173633 -0.272692 0.217423 0.291985 -0.22793 0.935155 0.11946 -0.455125 0.385629
892657863 31 0.281926 0.0216835 0.376991 -0.191639 0.300122 -0.267579 -0.617079 -0.30136 0.437942 -0.220219 0.282439 -0.264673 -0.664066 -0.402526
892657863 32 0.549808 0.850507 -0.320858 0.31749 -0.311664 0.024735 0.22823 -0.0885921 -0.37909 0.23141 -0.354386 0.0818923 0.181884 -0.0887163
892657863 33 0.406184 0.233272 0.737967 -0.191421 0.142992 -0.131894 -0.452497 -0.541651 0.762432 -0.162238 0.261281 -0.332078 -0.471502 -0.477821
892657863 34 0.425697 0.837158 -0.274081 -0.428332 -0.01288 0.221058 0.229296 0.0665969 -0.33933 -0.407667 -0.0582962 0.28803 0.19881 0.01768
892657863 35 0.18675 0.0363463 -0.0442996 -0.296055 0.823146 0.197 -0.446813 0.118433 0.139019 -0.25574 0.852608 0.125087 -0.474525 0.115825
892657863 36 0.770158 0.451173 -0.420914 0.186615 -0.429858 0.371671 0.237851 -0.0530354 -0.439746 0.221901 -0.388397 0.347113 0.173554 -0.0487248
892657863 37 0.620679 0.746419 -0.4432 0.231196 -0.41906 0.0802502 0.238734 -0.0212566 -0.429586 0.223348 -0.383138 0.0258899 0.19252 -0.073823
892657863 38 0.37705 0.304808 0.500697 0.463432 0.11273 -0.339802 -0.450654 -0.543301 0.435429 0.466799 0.0920299 -0.277743 -0.408399 -0.475344
892657863 39 0.31695 0.603619 -0.0162566 -0.406611 0.135677 0.259614 0.111519 0.185734 0.135297 -0.300359 0.222508 0.263561 0.107885 0.185073
892657863 40 0.652474 0.386355 -0.334963 -0.388483 0.0184826 0.722494 0.218519 0.749458 -0.254103 -0.393843 0.0763313 0.618789 0.194589 0.797304
892657863 41 0.161 0.222806 0.31426 -0.296172 0.238027 -0.217692 -0.503288 -0.27184 0.289566 -0.246904 0.277337 -0.250575 -0.548628 -0.337725
892657863 42 0.343814 0.780974 0.0363963 -0.406657 0.111933 0.496537 0.283255 0.20359 -0.00215847 -0.334367 0.146936 0.401448 0.194589 0.19899
892657863 43 0.674996 0.424316 -0.437955 -0.436632 -0.167576 0.554821 0.146035 0.552245 -0.386705 -0.425329 -0.079551 0.510119 0.194589 0.501752
892657863 44 0.671673 0.581744 -0.676326 0.0866287 -0.470671 0.218813 0.260098 -0.103465 -0.567733 0.0909278 -0.414353 0.234899 0.230255 -0.0535109
892657863 45 0.0174659 0.329922 -0.283221 -0.403942 -0.333718 -0.200554 -0.345915 -0.410001 -0.24586 -0.200759 -0.267455 -0.26526 -0.389828 -0.458979
892657863 46 0.0697436 0.121221 0.0576163 -0.303201 0.7316 0.195679 -0.36711 0.196296 -0.1215 -0.306379 0.702858 0.211275 -0.352307 0.212751
892657863 47 0.441051 0.014904 0.719967 0.344744 0.155346 -0.381078 -0.522043 -0.608463 0.635913 0.498453 0.198112 -0.359245 -0.607085 -0.599201
892657863 48 0.466854 0.880894 -0.0481768 -0.374823 0.187586 0.102737 0.0224298 -0.0623194 0.0348378 -0.355379 0.197639 0.10807 -0.0437194 -0.114766
892657863 49 0.749901 0.0976687 0.01427 -0.389262 0.779813 0.466354 -0.0480371 0.390732 0.0508824 -0.299382 0.840122 0.455784 -0.0788591 0.364133
892657863 50 0.750192 0.119622 0.136256 -0.266483 0.245623 0.508419 0.0254989 0.533977 0.226226 -0.26342 0.258663 0.374281 -0.101068 0.379431
892657863 51 0.524123 0.355974 0.0756296 -0.271947 0.177924 0.216647 0.0187376 0.39814 0.0323194 -0.320093 0.162585 0.288431 -0.0168775 0.270552
892657863 52 0.765973 0.400148 -0.0175323 -0.276728 0.228697 0.215094 0.0487809 0.0744083 -0.109692 -0.380067 0.0979269 0.26646 0.0477863 0.061801
892657863 53 0.43817 0.151143 0.497984 -0.325761 0.0496728 -0.157307 -0.401638 -0.405851 0.50173 -0.211918 0.119483 -0.250575 -0.471502 -0.461582
892657863 54 0.947587 0.582716 -0.189536 0.31418 -0.256669 -0.320002 0.34083 0.150866 -0.162443 0.26451 -0.255918 -0.315203 0.3451 0.189455
892657863 55 0.130966 0.406124 0.276531 0.281841 -0.057107 -0.392051 -0.482873 -0.438655 0.200557 0.397223 -0.0487427 -0.430168 -0.438298 -0.4317
892657863 56 0.627977 0.825946 -0.478824 0.257202 -0.484829 -0.0569374 0.416728 -0.00303051 -0.482369 0.20755 -0.420367 -0.0242236 0.270893 -0.0105281
