sim.generation	num_muts	num_ind	mean-phenotype1-mat	mean-phenotype2-MTWetQ	mean-phenotype3-MTDQ	mean-phenotype4-PDM	mean-phenotype5-PwarmQ	mean-phenotype6-PWM	sd-phenotype1-mat	sd-phenotype2-MTWetQ	sd-phenotype3-MTDQ	sd-phenotype4-PDM	sd-phenotype5-PwarmQ	sd-phenotype6-PWM	corr_phen_env_1mat	corr_phen_env_2MTWetQ	corr_phen_env_3MTDQ	corr_phen_env_4PDM	corr_phen_env_5PwarmQ	corr_phen_env_6PWM
200	31	2166	-7.18017e-06	0.00154093	0.00125965	0.00148374	-0.00189452	0.000723181	0.0138215	0.0185749	0.0102125	0.0202673	0.0146333	0.0132576	0.0343655	0.0231726	-0.104141	0.0034346	-0.0227464	-0.0199631
400	26	518	-0.0191377	-0.043718	-0.000569139	0.0377143	-0.0323763	-0.0120641	0.0845329	0.0927888	0.0641279	0.0716984	0.0547098	0.0483445	0.264485	0.294556	0.314879	0.236158	-0.105883	0.11892
600	44	992	0.0146267	-0.133573	-0.00187878	0.0836821	-0.0743259	-0.02388	0.135494	0.139255	0.101722	0.135921	0.0679522	0.147654	0.554239	0.686957	0.531492	0.661448	0.394358	0.708052
800	78	1686	-0.00651806	-0.120179	-0.0188264	0.0773601	-0.104067	-0.0548053	0.175009	0.225749	0.158066	0.193874	0.100606	0.185153	0.699937	0.816838	0.683901	0.759961	0.582196	0.822954
1000	130	2547	-0.00427455	-0.0895202	-0.0129754	0.027165	-0.0872738	-0.0516722	0.21501	0.257938	0.232344	0.237303	0.15723	0.244915	0.762873	0.820984	0.814388	0.819005	0.782296	0.85942
1200	211	4145	-0.0271278	-0.0809885	-0.0148815	0.0101027	-0.0387234	-0.00400705	0.256535	0.26748	0.300194	0.264046	0.223651	0.292947	0.82087	0.863104	0.887198	0.860681	0.887778	0.907129
1400	291	5751	-0.0453896	-0.0584165	-0.0424881	-0.0220119	-0.00834284	0.00919498	0.278834	0.286627	0.308929	0.294786	0.274773	0.319213	0.85925	0.907158	0.913587	0.90846	0.929364	0.937379
1600	350	7036	-0.0381263	-0.0290804	-0.0460522	-0.0377465	-0.0077464	-0.00215918	0.279268	0.304983	0.311612	0.307792	0.306679	0.339164	0.878668	0.934145	0.917351	0.923466	0.946128	0.951731
1800	389	7646	-0.0357675	-0.00725279	-0.0366142	-0.0335803	-0.00231587	-0.0127867	0.283248	0.325488	0.298668	0.311723	0.313899	0.339569	0.884976	0.949072	0.923005	0.937377	0.954761	0.951818
2000	404	7937	-0.0356647	-0.00677171	-0.0344757	-0.0268105	0.00440962	-0.0115081	0.285306	0.331385	0.292959	0.323432	0.318367	0.331627	0.896517	0.951168	0.923465	0.951695	0.956685	0.95336
2200	391	8168	-0.0293556	-0.00906484	-0.0308449	-0.0123872	0.0161935	-0.00271949	0.291201	0.335231	0.290223	0.33829	0.328267	0.333119	0.903739	0.956735	0.92825	0.959359	0.96342	0.958754
2400	397	8231	-0.0250735	-0.00697009	-0.0295797	-0.00652084	0.0210144	0.000843648	0.292738	0.333482	0.292742	0.341491	0.330655	0.328743	0.906443	0.958773	0.928322	0.961189	0.966409	0.960305
2600	394	8311	-0.0210412	-0.00142079	-0.0269283	-0.0117268	0.0210465	-0.000635422	0.293423	0.335103	0.290331	0.342151	0.337093	0.32936	0.914724	0.962906	0.931202	0.962202	0.967375	0.960255
2800	385	8417	-0.0233289	-0.00135387	-0.0257735	-0.0025273	0.0219395	0.00147486	0.293451	0.336398	0.296064	0.340909	0.33507	0.331458	0.913282	0.962204	0.934425	0.961117	0.967585	0.960686
3000	399	8438	-0.0256108	0.00421329	-0.0246921	-0.00711182	0.0237432	-0.00677567	0.297095	0.335077	0.294204	0.336668	0.335613	0.327985	0.916773	0.960694	0.934464	0.963212	0.968969	0.961215
3200	389	8361	-0.0216009	-0.00344681	-0.021266	-0.0052009	0.0235477	-0.000555216	0.291299	0.336262	0.292293	0.335072	0.336966	0.329941	0.907709	0.963044	0.931767	0.963007	0.969598	0.960896
3400	381	8328	-0.024307	0.0021551	-0.0265026	-0.00558021	0.0298019	0.00147699	0.295097	0.339729	0.29226	0.334682	0.334353	0.322437	0.915087	0.963412	0.934695	0.963028	0.970504	0.96097
