seed subpopID N opt0 opt1 x y
1231169 1 10 -0.777778 -1 1 1
1231169 2 17 -0.555556 -1 2 1
1231169 3 27 -0.333333 -1 3 1
1231169 4 38 -0.111111 -1 4 1
1231169 5 46 0.111111 -1 5 1
1231169 6 46 0.333333 -1 6 1
1231169 7 38 0.555556 -1 7 1
1231169 8 27 0.777778 -1 8 1
1231169 9 17 1 -1 9 1
1231169 10 10 1 -0.777778 10 1
1231169 11 17 -0.777778 -0.777778 1 2
1231169 12 32 -0.555556 -0.777778 2 2
1231169 13 55 -0.333333 -0.777778 3 2
1231169 14 79 -0.111111 -0.777778 4 2
1231169 15 96 0.111111 -0.777778 5 2
1231169 16 96 0.333333 -0.777778 6 2
1231169 17 79 0.555556 -0.777778 7 2
1231169 18 55 0.777778 -0.777778 8 2
1231169 19 32 1 -0.777778 9 2
1231169 20 17 1 -0.555556 10 2
1231169 21 27 -0.777778 -0.555556 1 3
1231169 22 55 -0.555556 -0.555556 2 3
1231169 23 96 -0.333333 -0.555556 3 3
1231169 24 141 -0.111111 -0.555556 4 3
1231169 25 172 0.111111 -0.555556 5 3
1231169 26 172 0.333333 -0.555556 6 3
1231169 27 141 0.555556 -0.555556 7 3
1231169 28 96 0.777778 -0.555556 8 3
1231169 29 55 1 -0.555556 9 3
1231169 30 27 1 -0.333333 10 3
1231169 31 38 -0.777778 -0.333333 1 4
1231169 32 79 -0.555556 -0.333333 2 4
1231169 33 141 -0.333333 -0.333333 3 4
1231169 34 209 -0.111111 -0.333333 4 4
1231169 35 255 0.111111 -0.333333 5 4
1231169 36 255 0.333333 -0.333333 6 4
1231169 37 209 0.555556 -0.333333 7 4
1231169 38 141 0.777778 -0.333333 8 4
1231169 39 79 1 -0.333333 9 4
1231169 40 38 1 -0.111111 10 4
1231169 41 46 -0.777778 -0.111111 1 5
1231169 42 96 -0.555556 -0.111111 2 5
1231169 43 172 -0.333333 -0.111111 3 5
1231169 44 255 -0.111111 -0.111111 4 5
1231169 45 311 0.111111 -0.111111 5 5
1231169 46 311 0.333333 -0.111111 6 5
1231169 47 255 0.555556 -0.111111 7 5
1231169 48 172 0.777778 -0.111111 8 5
1231169 49 96 1 -0.111111 9 5
1231169 50 46 1 0.111111 10 5
1231169 51 46 -0.777778 0.111111 1 6
1231169 52 96 -0.555556 0.111111 2 6
1231169 53 172 -0.333333 0.111111 3 6
1231169 54 255 -0.111111 0.111111 4 6
1231169 55 311 0.111111 0.111111 5 6
1231169 56 311 0.333333 0.111111 6 6
1231169 57 255 0.555556 0.111111 7 6
1231169 58 172 0.777778 0.111111 8 6
1231169 59 96 1 0.111111 9 6
1231169 60 46 1 0.333333 10 6
1231169 61 38 -0.777778 0.333333 1 7
1231169 62 79 -0.555556 0.333333 2 7
1231169 63 141 -0.333333 0.333333 3 7
1231169 64 209 -0.111111 0.333333 4 7
1231169 65 255 0.111111 0.333333 5 7
1231169 66 255 0.333333 0.333333 6 7
1231169 67 209 0.555556 0.333333 7 7
1231169 68 141 0.777778 0.333333 8 7
1231169 69 79 1 0.333333 9 7
1231169 70 38 1 0.555556 10 7
1231169 71 27 -0.777778 0.555556 1 8
1231169 72 55 -0.555556 0.555556 2 8
1231169 73 96 -0.333333 0.555556 3 8
1231169 74 141 -0.111111 0.555556 4 8
1231169 75 172 0.111111 0.555556 5 8
1231169 76 172 0.333333 0.555556 6 8
1231169 77 141 0.555556 0.555556 7 8
1231169 78 96 0.777778 0.555556 8 8
1231169 79 55 1 0.555556 9 8
1231169 80 27 1 0.777778 10 8
1231169 81 17 -0.777778 0.777778 1 9
1231169 82 32 -0.555556 0.777778 2 9
1231169 83 55 -0.333333 0.777778 3 9
1231169 84 79 -0.111111 0.777778 4 9
1231169 85 96 0.111111 0.777778 5 9
1231169 86 96 0.333333 0.777778 6 9
1231169 87 79 0.555556 0.777778 7 9
1231169 88 55 0.777778 0.777778 8 9
1231169 89 32 1 0.777778 9 9
1231169 90 17 1 1 10 9
1231169 91 10 -0.777778 1 1 10
1231169 92 17 -0.555556 1 2 10
1231169 93 27 -0.333333 1 3 10
1231169 94 38 -0.111111 1 4 10
1231169 95 46 0.111111 1 5 10
1231169 96 46 0.333333 1 6 10
1231169 97 38 0.555556 1 7 10
1231169 98 27 0.777778 1 8 10
1231169 99 17 1 1 9 10
1231169 100 10 1 0.777778 10 10
