seed gen sympatric allopatric local_adapt mean_phen0 mean_phen1 cor_sal_popmean cor_temp_popeman cor_sal_ind cor_temp_ind
1231114 100 0.999856 0.999856 -6.66134e-16 0.000988077 -0.000337131 -0.0459021 0.131246 NAN NAN
1231114 200 0.999964 0.999964 -1.08802e-14 -0.0006607 0 -0.134125 NAN NAN NAN
1231114 300 0.999996 0.999996 -2.66454e-15 -9.45002e-05 0 0.0149041 NAN NAN NAN
1231114 400 0.99977 0.99977 8.43769e-15 -0.000942367 -0.000298485 0.208004 -0.142589 NAN NAN
1231114 500 0.999998 0.999998 -3.55271e-15 -0.000715574 0 0.171066 NAN NAN NAN
1231114 600 0.999894 0.999894 -4.55191e-15 0.000127427 -1.97412e-05 -0.264517 0.0524864 NAN NAN
1231114 700 0.999844 0.999844 -7.21645e-15 -7.73873e-05 -0.000211893 0.0156379 -0.0326843 NAN NAN
1231114 800 0.999948 0.999948 -1.78746e-14 -0.000539012 5.83993e-05 -0.0879876 0.181145 NAN NAN
1231114 900 0.999938 0.999938 -1.33227e-15 -0.00022471 0.000141638 0.0635261 0.127819 NAN NAN
1231114 1000 0.999957 0.999957 -1.59872e-14 -0.000265233 7.6803e-07 -0.0712238 0.0422328 NAN NAN
1231114 1100 0.995045 0.995112 -6.67032e-05 0.00211909 4.2344e-05 -0.15255 -0.0415466 -0.0427544 -0.0114102
1231114 1200 0.981302 0.981333 -3.1301e-05 0.000388392 0.000652307 0.120442 -0.0636417 0.0596938 -0.020063
1231114 1300 0.958419 0.958378 4.14232e-05 -0.000679622 0.000422903 -0.0603533 0.0677505 -0.0149133 0.0440254
1231114 1400 0.926724 0.926643 8.09091e-05 0.00173864 -8.49059e-05 0.0702144 0.0174955 0.0365934 0.00670654
1231114 1500 0.886602 0.886615 -1.27919e-05 -0.00074512 6.25975e-05 -0.0448584 -0.00263215 -0.0122538 0.00395522
1231114 1600 0.844621 0.834867 0.00975457 -0.00492582 -0.0125494 0.14799 0.32719 0.0251088 0.286381
1231114 1700 0.852099 0.745627 0.106472 -0.0144612 -0.125291 0.297586 0.860281 0.188209 0.73224
1231114 1800 0.875364 0.633526 0.241838 -0.153053 -0.0550598 0.709057 0.96115 0.515224 0.896525
1231114 1900 0.849219 0.522161 0.327057 -0.191065 -0.0514123 0.825254 0.958506 0.660193 0.903829
1231114 2000 0.888079 0.347015 0.541063 -0.0227544 -0.00235047 0.969329 0.980223 0.862179 0.925752
1231114 2100 0.899189 0.334861 0.564328 -0.0124763 -0.00379348 0.979784 0.990572 0.866266 0.929989
1231114 2200 0.897111 0.333236 0.563875 -0.0157462 -0.00824129 0.978212 0.989691 0.866269 0.932813
1231114 2300 0.899072 0.336062 0.563011 -0.0222653 0.00495608 0.980141 0.986751 0.880948 0.927058
1231114 2400 0.920101 0.339328 0.580773 -0.0168998 0.00081852 0.988076 0.989027 0.925502 0.931879
1231114 2500 0.931391 0.346835 0.584556 -0.00391348 -0.0154428 0.989756 0.989663 0.927206 0.941525
1231114 2600 0.936178 0.346254 0.589923 -0.00935337 -0.00711098 0.990159 0.98964 0.929289 0.944293
1231114 2700 0.936887 0.351671 0.585216 -0.0148776 -0.0325796 0.991408 0.98932 0.9296 0.945895
1231114 2800 0.934027 0.347703 0.586324 -0.0176705 -0.0330778 0.989974 0.988139 0.930239 0.942884
1231114 2900 0.934582 0.349587 0.584995 0.000213332 -0.0407065 0.987533 0.989412 0.927529 0.942204
1231114 3000 0.934592 0.35317 0.581422 0.00351962 -0.0230243 0.986124 0.988091 0.930888 0.941878
