seed gen sympatric allopatric local_adapt mean_phen0 mean_phen1 cor_sal_popmean cor_temp_popeman cor_sal_ind cor_temp_ind
1231142 100 0.999755 0.999755 9.54792e-15 8.63583e-05 0.000564132 0.0234874 -0.0996398 NAN NAN
1231142 200 0.999966 0.999966 -3.55271e-15 0.00010699 -7.41563e-05 -0.166675 -0.0614853 NAN NAN
1231142 300 0.999786 0.999786 -4.44089e-16 -3.46481e-05 -0.000124046 0.0355339 -0.0158169 NAN NAN
1231142 400 0.999841 0.999841 1.11022e-16 0.00020229 -0.000258367 0.0208824 -0.146822 NAN NAN
1231142 500 0.999959 0.999959 3.88578e-15 -0.000103924 6.8866e-05 -0.085931 0.0913273 NAN NAN
1231142 600 0.999902 0.999902 2.77556e-15 3.1405e-05 -0.000143142 0.020195 -0.253448 NAN NAN
1231142 700 0.999935 0.999935 1.19904e-14 -0.00041055 0.000142824 0.0759214 -0.0424936 NAN NAN
1231142 800 0.999851 0.999851 1.31006e-14 -0.00100472 0.000408119 0.0576577 0.117279 NAN NAN
1231142 900 0.999869 0.999869 8.99281e-15 -0.00056378 -0.000388115 0.059521 -0.145275 NAN NAN
1231142 1000 0.999914 0.999914 4.996e-15 0.000539159 -6.13887e-05 0.150499 -0.0837208 NAN NAN
1231142 1100 0.99536 0.995365 -5.76243e-06 2.14991e-05 4.63888e-05 -0.0174955 -0.122468 -0.00174086 -0.012186
1231142 1200 0.981377 0.981215 0.000162978 -0.00129202 0.00047618 0.0600431 0.314016 0.0106005 0.0488541
1231142 1300 0.958515 0.958511 3.98515e-06 -8.93881e-05 1.90382e-05 -0.0607032 0.0601181 -0.0085467 0.00830659
1231142 1400 0.9267 0.926644 5.63943e-05 -0.00013808 0.000342653 -0.0604048 0.0322177 -0.00716917 0.00368647
1231142 1500 0.913464 0.845668 0.0677958 -0.0310632 0.00913972 0.14871 0.789605 0.119593 0.62236
1231142 1600 0.899879 0.752431 0.147448 0.0440836 0.019196 0.312192 0.918129 0.237988 0.781554
1231142 1700 0.879342 0.671747 0.207595 0.0666231 -0.0123598 0.392383 0.952278 0.318667 0.837997
1231142 1800 0.853863 0.594637 0.259226 0.0896098 -0.0394319 0.564988 0.960347 0.43188 0.86547
1231142 1900 0.822424 0.51146 0.310964 0.119327 -0.0655708 0.78414 0.952529 0.607532 0.872805
1231142 2000 0.780105 0.373981 0.406124 0.0604684 -0.0367171 0.905816 0.982335 0.715861 0.906212
1231142 2100 0.786463 0.365379 0.421084 0.059483 -0.0452299 0.931983 0.978058 0.741333 0.905575
1231142 2200 0.795287 0.358607 0.436679 0.0364939 -0.0355435 0.94594 0.98462 0.763856 0.90309
1231142 2300 0.799876 0.35777 0.442106 0.0349213 -0.0349298 0.944079 0.987733 0.765843 0.909713
1231142 2400 0.808135 0.353499 0.454636 0.00215427 -0.0350692 0.972046 0.98829 0.786407 0.909439
1231142 2500 0.81838 0.351241 0.467138 0.00224371 -0.0310641 0.971865 0.987031 0.794697 0.921787
1231142 2600 0.816781 0.354809 0.461972 -0.00690966 -0.0260913 0.968728 0.987545 0.78994 0.920272
1231142 2700 0.830066 0.355525 0.474541 -0.0119189 -0.0307406 0.976372 0.987847 0.804385 0.930204
1231142 2800 0.830932 0.352725 0.478207 0.0028203 -0.0450658 0.97714 0.987189 0.805936 0.933964
1231142 2900 0.83515 0.354053 0.481097 -0.00190196 -0.0231674 0.979268 0.989081 0.809438 0.936629
1231142 3000 0.837234 0.354977 0.482257 -0.00909767 -0.0394385 0.975053 0.988037 0.806556 0.942531
