"seed" "indID" "indSubpopIndex" "subpop" "phen_sal" "phen_temp" "sal_opt" "temp_opt" "fitness" "subset" "PC1" "PC2" "PC3" "RDA1" "RDA2"
"11" "2242330863068" 10 10 1 0.504704 -1.07779 -1 -1 0.987969 TRUE 31.4831 -16.2771 12.6711 -1.76577272889125 -1.79190938358764
"41" "2242330863068" 40 40 1 -0.0807201 -1.29657 -1 -1 0.838697 TRUE 31.0065 -16.4117 12.1289 -1.72800781445472 -1.67368575047322
"42" "2242330863068" 41 41 1 1.00511 -0.947334 -1 -1 0.994468 TRUE 30.3155 -17.7202 10.5114 -1.5621976128779 -1.9365343711414
"49" "2242330863068" 48 48 1 -1.29876 -0.836589 -1 -1 0.947995 TRUE 31.0277 -16.671 9.13972 -1.74704053947815 -2.32077650761833
"52" "2242330863068" 51 51 1 -0.967383 -0.932055 -1 -1 0.990809 TRUE 30.3976 -18.3093 10.1919 -1.62048495618477 -1.64548178929506
"60" "2242330863068" 59 59 1 -1.43537 -0.96888 -1 -1 0.998065 TRUE 28.095 -13.9282 7.20886 -1.57438957138317 -2.15690561351458
"82" "2242330863068" 81 81 1 1.24889 -0.999445 -1 -1 0.999999 TRUE 31.226 -16.2108 13.1698 -1.75179932109925 -2.15383590904993
"83" "2242330863068" 82 82 1 1.08087 -1.13696 -1 -1 0.96318 TRUE 30.8423 -12.2449 6.68901 -1.81232289175097 -0.542654655336643
"91" "2242330863068" 90 90 1 1.42969 -0.939954 -1 -1 0.992815 TRUE 32.7348 -15.0872 9.28847 -1.87493752385609 -2.3444735324908
"96" "2242330863068" 95 95 1 1.30376 -0.765748 -1 -1 0.89606 TRUE 31.6789 -16.716 13.3055 -1.73638110888233 -3.13385889397441
"111" "2242330863068" 110 10 2 -0.486426 -0.951022 -0.777778 -1 0.995214 TRUE 29.9127 -12.9607 9.88911 -1.65658364299853 -2.57933341025988
"113" "2242330863068" 112 12 2 1.28499 -0.957792 -0.777778 -1 0.996443 TRUE 32.4334 -17.5272 13.9426 -1.73612519800389 -3.04546414891468
"118" "2242330863068" 117 17 2 2.72203 -0.776638 -0.777778 -1 0.905036 TRUE 31.3964 -15.5552 9.74049 -1.73625156750067 -0.673713436545374
"146" "2242330863068" 145 45 2 0.252756 -0.798818 -0.777778 -1 0.922241 TRUE 30.9952 -15.7218 9.22594 -1.74699843405438 -2.051719900396
"151" "2242330863068" 150 50 2 1.32806 -0.977108 -0.777778 -1 0.998952 TRUE 31.0208 -15.5465 11.6405 -1.78095506763199 -0.169571653036468
"163" "2242330863068" 162 62 2 1.53307 -0.773283 -0.777778 -1 0.902306 TRUE 33.1758 -17.0905 12.4633 -1.8446316761217 -0.691409925609551
"166" "2242330863068" 165 65 2 -0.708265 -0.906011 -0.777778 -1 0.982487 TRUE 28.5978 -11.4917 11.9101 -1.53918314509483 -0.962445422624213
"169" "2242330863068" 168 68 2 0.197429 -1.08057 -0.777778 -1 0.987099 TRUE 31.6189 -14.6011 10.8343 -1.71987110111665 -1.91112657202189
"186" "2242330863068" 185 85 2 0.741259 -0.92774 -0.777778 -1 0.989611 TRUE 30.7643 -16.4617 11.5949 -1.68410220796401 -1.46328329688543
"191" "2242330863068" 190 90 2 0.124874 -0.904427 -0.777778 -1 0.981897 TRUE 32.9133 -18.2084 13.4392 -1.75670459689717 -2.28181205995305
"206" "2242330863068" 205 5 3 0.752645 -0.872422 -0.555556 -1 0.967972 TRUE 30.8932 -13.2607 11.2001 -1.76908067423732 -0.953518330326838
"225" "2242330863068" 224 24 3 -0.664689 -0.846797 -0.555556 -1 0.954143 TRUE 30.8612 -14.3849 7.26743 -1.68303062999968 -0.862666023550371
