seed subpopID N opt0 opt1 x y
2242330863068 1 200 -1 -1 1 1
2242330863068 2 200 -0.777778 -1 2 1
2242330863068 3 200 -0.555556 -1 3 1
2242330863068 4 10 -0.333333 -1 4 1
2242330863068 5 95 -0.111111 -1 5 1
2242330863068 6 50 0.111111 -1 6 1
2242330863068 7 200 0.333333 -1 7 1
2242330863068 8 145 0.555556 -1 8 1
2242330863068 9 10 0.777778 -1 9 1
2242330863068 10 200 1 -1 10 1
2242330863068 11 145 -1 -0.777778 1 2
2242330863068 12 95 -0.777778 -0.777778 2 2
2242330863068 13 10 -0.555556 -0.777778 3 2
2242330863068 14 50 -0.333333 -0.777778 4 2
2242330863068 15 50 -0.111111 -0.777778 5 2
2242330863068 16 10 0.111111 -0.777778 6 2
2242330863068 17 95 0.333333 -0.777778 7 2
2242330863068 18 145 0.555556 -0.777778 8 2
2242330863068 19 95 0.777778 -0.777778 9 2
2242330863068 20 200 1 -0.777778 10 2
2242330863068 21 10 -1 -0.555556 1 3
2242330863068 22 145 -0.777778 -0.555556 2 3
2242330863068 23 10 -0.555556 -0.555556 3 3
2242330863068 24 95 -0.333333 -0.555556 4 3
2242330863068 25 145 -0.111111 -0.555556 5 3
2242330863068 26 50 0.111111 -0.555556 6 3
2242330863068 27 200 0.333333 -0.555556 7 3
2242330863068 28 145 0.555556 -0.555556 8 3
2242330863068 29 200 0.777778 -0.555556 9 3
2242330863068 30 200 1 -0.555556 10 3
2242330863068 31 10 -1 -0.333333 1 4
2242330863068 32 95 -0.777778 -0.333333 2 4
2242330863068 33 95 -0.555556 -0.333333 3 4
2242330863068 34 145 -0.333333 -0.333333 4 4
2242330863068 35 145 -0.111111 -0.333333 5 4
2242330863068 36 200 0.111111 -0.333333 6 4
2242330863068 37 50 0.333333 -0.333333 7 4
2242330863068 38 95 0.555556 -0.333333 8 4
2242330863068 39 200 0.777778 -0.333333 9 4
2242330863068 40 10 1 -0.333333 10 4
2242330863068 41 145 -1 -0.111111 1 5
2242330863068 42 95 -0.777778 -0.111111 2 5
2242330863068 43 145 -0.555556 -0.111111 3 5
2242330863068 44 145 -0.333333 -0.111111 4 5
2242330863068 45 10 -0.111111 -0.111111 5 5
2242330863068 46 200 0.111111 -0.111111 6 5
2242330863068 47 200 0.333333 -0.111111 7 5
2242330863068 48 50 0.555556 -0.111111 8 5
2242330863068 49 50 0.777778 -0.111111 9 5
2242330863068 50 145 1 -0.111111 10 5
2242330863068 51 50 -1 0.111111 1 6
2242330863068 52 10 -0.777778 0.111111 2 6
2242330863068 53 50 -0.555556 0.111111 3 6
2242330863068 54 145 -0.333333 0.111111 4 6
2242330863068 55 200 -0.111111 0.111111 5 6
2242330863068 56 200 0.111111 0.111111 6 6
2242330863068 57 95 0.333333 0.111111 7 6
2242330863068 58 145 0.555556 0.111111 8 6
2242330863068 59 50 0.777778 0.111111 9 6
2242330863068 60 50 1 0.111111 10 6
2242330863068 61 50 -1 0.333333 1 7
2242330863068 62 50 -0.777778 0.333333 2 7
2242330863068 63 10 -0.555556 0.333333 3 7
2242330863068 64 95 -0.333333 0.333333 4 7
2242330863068 65 50 -0.111111 0.333333 5 7
2242330863068 66 95 0.111111 0.333333 6 7
2242330863068 67 200 0.333333 0.333333 7 7
2242330863068 68 145 0.555556 0.333333 8 7
2242330863068 69 200 0.777778 0.333333 9 7
2242330863068 70 10 1 0.333333 10 7
2242330863068 71 50 -1 0.555556 1 8
2242330863068 72 10 -0.777778 0.555556 2 8
2242330863068 73 50 -0.555556 0.555556 3 8
2242330863068 74 200 -0.333333 0.555556 4 8
2242330863068 75 95 -0.111111 0.555556 5 8
2242330863068 76 50 0.111111 0.555556 6 8
2242330863068 77 95 0.333333 0.555556 7 8
2242330863068 78 50 0.555556 0.555556 8 8
2242330863068 79 200 0.777778 0.555556 9 8
2242330863068 80 50 1 0.555556 10 8
2242330863068 81 95 -1 0.777778 1 9
2242330863068 82 50 -0.777778 0.777778 2 9
2242330863068 83 95 -0.555556 0.777778 3 9
2242330863068 84 95 -0.333333 0.777778 4 9
2242330863068 85 95 -0.111111 0.777778 5 9
2242330863068 86 145 0.111111 0.777778 6 9
2242330863068 87 145 0.333333 0.777778 7 9
2242330863068 88 95 0.555556 0.777778 8 9
2242330863068 89 95 0.777778 0.777778 9 9
2242330863068 90 95 1 0.777778 10 9
2242330863068 91 10 -1 1 1 10
2242330863068 92 50 -0.777778 1 2 10
2242330863068 93 95 -0.555556 1 3 10
2242330863068 94 145 -0.333333 1 4 10
2242330863068 95 200 -0.111111 1 5 10
2242330863068 96 95 0.111111 1 6 10
2242330863068 97 50 0.333333 1 7 10
2242330863068 98 95 0.555556 1 8 10
2242330863068 99 95 0.777778 1 9 10
2242330863068 100 10 1 1 10 10
