seed gen sympatric allopatric local_adapt mean_phen0 mean_phen1 cor_sal_popmean cor_temp_popeman cor_sal_ind cor_temp_ind
1231453 100 0.99908 0.99908 2.9754e-14 0.00108999 0.000222946 -0.0670695 0.104361 NAN NAN
1231453 200 0.999375 0.999375 1.31006e-14 0.00105925 0.000320046 -0.125025 0.380522 NAN NAN
1231453 300 0.998673 0.998673 -2.94209e-14 0.000417878 -0.00179043 0.100373 -0.0616022 NAN NAN
1231453 400 0.998381 0.998381 1.4988e-14 0.00370257 -0.00523059 0.0447607 -0.023265 NAN NAN
1231453 500 0.996921 0.996921 3.10862e-15 -0.00923308 0.000728368 -0.0931355 0.115862 NAN NAN
1231453 600 0.998882 0.998882 -2.498e-14 -0.00443867 0.00102606 0.167651 0.0288758 NAN NAN
1231453 700 0.997996 0.997996 8.54872e-15 0.0031319 -0.00136198 0.241094 -0.182513 NAN NAN
1231453 800 0.998872 0.998872 -3.33067e-15 -0.000223408 -9.77475e-06 0.0984949 0.0408299 NAN NAN
1231453 900 0.997909 0.997909 2.03171e-14 0.00182613 -0.00153363 -0.0780981 0.0600845 NAN NAN
1231453 1000 0.999305 0.999305 -1.21014e-14 -0.000340709 0.000222568 -0.0403069 -0.0958711 NAN NAN
1231453 1100 0.994312 0.994161 0.000150373 -0.000939522 9.14826e-05 -0.0329318 0.230492 -0.0143834 0.0371153
1231453 1200 0.980345 0.980116 0.00022894 0.00209508 -0.0010777 0.238882 0.0757323 0.0753653 0.0139994
1231453 1300 0.95812 0.954638 0.00348192 0.00475938 0.00182657 0.173683 0.483358 0.0340888 0.208321
1231453 1400 0.933232 0.904711 0.0285205 -0.0108435 0.0398656 0.303597 0.586101 0.19637 0.492079
1231453 1500 0.91877 0.835682 0.0830886 -0.0356572 0.0112843 0.350991 0.752482 0.264114 0.728934
1231453 1600 0.909748 0.75214 0.157608 0.0135739 -0.0189451 0.542939 0.847862 0.542284 0.811421
1231453 1700 0.899971 0.655863 0.244108 0.0473906 -0.00848206 0.701077 0.905442 0.69048 0.858365
1231453 1800 0.891172 0.557237 0.333935 0.0410577 -0.0296401 0.803609 0.940654 0.77474 0.890644
1231453 1900 0.880943 0.461282 0.419661 0.0217511 -0.0479358 0.894982 0.94319 0.846783 0.910555
1231453 2000 0.831664 0.344685 0.486979 0.0285369 -0.0400041 0.912799 0.939356 0.877999 0.914817
1231453 2100 0.855888 0.331814 0.524074 0.000397665 -0.0156114 0.925664 0.961455 0.895556 0.930699
1231453 2200 0.868372 0.326822 0.54155 -0.00705505 -0.0368484 0.943823 0.961165 0.906203 0.93421
1231453 2300 0.866177 0.318404 0.547773 -0.00453795 -0.0400723 0.94264 0.966351 0.897331 0.935857
1231453 2400 0.862022 0.316241 0.545781 0.0105956 -0.0441549 0.939385 0.964596 0.903089 0.934153
1231453 2500 0.871345 0.320392 0.550953 0.0255921 -0.0305801 0.947204 0.96757 0.906815 0.939367
1231453 2600 0.870815 0.324752 0.546062 0.0118666 -0.0275461 0.942337 0.962375 0.907442 0.932598
1231453 2700 0.86545 0.325722 0.539728 -0.00365619 -0.0224053 0.934507 0.95908 0.901173 0.933317
1231453 2800 0.878029 0.321934 0.556096 0.000469613 -0.0299533 0.948569 0.960618 0.907719 0.93618
1231453 2900 0.871166 0.320931 0.550235 0.0235177 -0.0304847 0.938853 0.964892 0.899297 0.937531
1231453 3000 0.872462 0.31849 0.553972 0.0022503 -0.0246057 0.949978 0.965247 0.898472 0.933644
