to from m
1 2 0.49
1 11 0.01
2 1 0.49
2 3 0.49
2 12 0.01
3 2 0.49
3 4 0.49
3 13 0.01
4 3 0.49
4 5 0.49
4 14 0.01
5 4 0.49
5 6 0.49
5 15 0.01
6 5 0.49
6 7 0.49
6 16 0.01
7 6 0.49
7 8 0.49
7 17 0.01
8 7 0.49
8 9 0.49
8 18 0.01
9 8 0.49
9 10 0.49
9 19 0.01
10 9 0.49
10 20 0.01
11 1 0.01
11 12 0.49
11 21 0.01
12 2 0.01
12 11 0.49
12 13 0.49
12 22 0.01
13 3 0.01
13 12 0.49
13 14 0.49
13 23 0.01
14 4 0.01
14 13 0.49
14 15 0.49
14 24 0.01
15 5 0.01
15 14 0.49
15 16 0.49
15 25 0.01
16 6 0.01
16 15 0.49
16 17 0.49
16 26 0.01
17 7 0.01
17 16 0.49
17 18 0.49
17 27 0.01
18 8 0.01
18 17 0.49
18 19 0.49
18 28 0.01
19 9 0.01
19 18 0.49
19 20 0.49
19 29 0.01
20 10 0.01
20 19 0.49
20 30 0.01
21 11 0.01
21 22 0.49
21 31 0.01
22 12 0.01
22 21 0.49
22 23 0.49
22 32 0.01
23 13 0.01
23 22 0.49
23 24 0.49
23 33 0.01
24 14 0.01
24 23 0.49
24 25 0.49
24 34 0.01
25 15 0.01
25 24 0.49
25 26 0.49
25 35 0.01
26 16 0.01
26 25 0.49
26 27 0.49
26 36 0.01
27 17 0.01
27 26 0.49
27 28 0.49
27 37 0.01
28 18 0.01
28 27 0.49
28 29 0.49
28 38 0.01
29 19 0.01
29 28 0.49
29 30 0.49
29 39 0.01
30 20 0.01
30 29 0.49
30 40 0.01
31 21 0.01
31 32 0.49
31 41 0.01
32 22 0.01
32 31 0.49
32 33 0.49
32 42 0.01
33 23 0.01
33 32 0.49
33 34 0.49
33 43 0.01
34 24 0.01
34 33 0.49
34 35 0.49
34 44 0.01
35 25 0.01
35 34 0.49
35 36 0.49
35 45 0.01
36 26 0.01
36 35 0.49
36 37 0.49
36 46 0.01
37 27 0.01
37 36 0.49
37 38 0.49
37 47 0.01
38 28 0.01
38 37 0.49
38 39 0.49
38 48 0.01
39 29 0.01
39 38 0.49
39 40 0.49
39 49 0.01
40 30 0.01
40 39 0.49
40 50 0.01
41 31 0.01
41 42 0.49
41 51 0.01
42 32 0.01
42 41 0.49
42 43 0.49
42 52 0.01
43 33 0.01
43 42 0.49
43 44 0.49
43 53 0.01
44 34 0.01
44 43 0.49
44 45 0.49
44 54 0.01
45 35 0.01
45 44 0.49
45 46 0.49
45 55 0.01
46 36 0.01
46 45 0.49
46 47 0.49
46 56 0.01
47 37 0.01
47 46 0.49
47 48 0.49
47 57 0.01
48 38 0.01
48 47 0.49
48 49 0.49
48 58 0.01
49 39 0.01
49 48 0.49
49 50 0.49
49 59 0.01
50 40 0.01
50 49 0.49
50 60 0.01
51 41 0.01
51 52 0.49
51 61 0.01
52 42 0.01
52 51 0.49
52 53 0.49
52 62 0.01
53 43 0.01
53 52 0.49
53 54 0.49
53 63 0.01
54 44 0.01
54 53 0.49
54 55 0.49
54 64 0.01
