seed gen sympatric allopatric local_adapt mean_phen0 mean_phen1 cor_sal_popmean cor_temp_popeman cor_sal_ind cor_temp_ind
1231094 100 14.2761 14.2761 -8.52651e-13 0 -0.00184988 NAN -0.0897006 NAN NAN
1231094 200 13.5878 13.5878 -8.75744e-13 0 0.000806763 NAN 0.266289 NAN NAN
1231094 300 12.8757 12.8757 6.98108e-13 0 0.00105219 NAN 0.0586202 NAN NAN
1231094 400 12.1787 12.1787 1.1493e-12 0 0.0017183 NAN -0.1361 NAN NAN
1231094 500 11.4704 11.4704 -2.84217e-14 0 0.00855199 NAN -0.30064 NAN NAN
1231094 600 10.7663 10.7663 -1.24523e-12 0 0.0102363 NAN -0.286945 NAN NAN
1231094 700 10.0758 10.0758 -1.16707e-12 0 0.00702932 NAN -0.391288 NAN NAN
1231094 800 9.38537 9.38537 6.83897e-13 0 0.00203047 NAN -0.126563 NAN NAN
1231094 900 8.68591 8.68591 9.48575e-13 0 0.00111717 NAN -0.098523 NAN NAN
1231094 1000 7.98625 7.98625 -1.18128e-13 0 -0.000992201 NAN -0.0340764 NAN NAN
1231094 1100 7.2429 7.24221 0.000694848 0 -0.000192728 NAN 0.132782 NAN 0.0448594
1231094 1200 6.41889 6.39954 0.0193562 0 0.00486157 NAN 0.489236 NAN 0.249991
1231094 1300 5.66649 5.42586 0.240629 0 0.0602047 NAN 0.754274 NAN 0.658331
1231094 1400 5.02282 4.43154 0.591283 0 0.0991808 NAN 0.933933 NAN 0.851999
1231094 1500 4.36791 3.52035 0.847557 0 0.103536 NAN 0.976959 NAN 0.915584
1231094 1600 3.68001 2.7341 0.945911 0 0.10942 NAN 0.981666 NAN 0.936319
1231094 1700 3.0024 2.01821 0.984193 0 0.119849 NAN 0.988164 NAN 0.95308
1231094 1800 2.3156 1.4185 0.8971 0 0.123002 NAN 0.989582 NAN 0.960321
1231094 1900 1.63807 0.92405 0.71402 0 0.161692 NAN 0.991608 NAN 0.966996
1231094 2000 0.962094 0.502564 0.459531 0 0.176436 NAN 0.994139 NAN 0.971678
1231094 2100 0.964542 0.49905 0.465492 0 0.172376 NAN 0.994205 NAN 0.973525
1231094 2200 0.964895 0.497606 0.467289 0 0.16798 NAN 0.995158 NAN 0.973015
1231094 2300 0.965363 0.498606 0.466757 0 0.178433 NAN 0.994959 NAN 0.973394
1231094 2400 0.965227 0.496783 0.468444 0 0.176496 NAN 0.995166 NAN 0.973699
1231094 2500 0.964968 0.498798 0.46617 0 0.175301 NAN 0.994182 NAN 0.974271
1231094 2600 0.963827 0.49994 0.463888 0 0.170496 NAN 0.993475 NAN 0.973246
1231094 2700 0.965737 0.496551 0.469186 0 0.178432 NAN 0.994047 NAN 0.97478
1231094 2800 0.967217 0.495452 0.471765 0 0.184359 NAN 0.996358 NAN 0.974938
1231094 2900 0.965459 0.500143 0.465316 0 0.176187 NAN 0.993581 NAN 0.975921
1231094 3000 0.963757 0.497174 0.466584 0 0.181492 NAN 0.992665 NAN 0.97424
