seed subpopID N opt0 opt1 x y
1231094 1 10 -1 -0.777778 1 1
1231094 2 10 -0.5 -0.777778 2 1
1231094 3 50 0 -0.777778 3 1
1231094 4 50 0.5 -0.777778 4 1
1231094 5 95 1 -0.777778 5 1
1231094 6 95 1 -0.777778 6 1
1231094 7 145 0.5 -0.777778 7 1
1231094 8 145 0 -0.777778 8 1
1231094 9 200 -0.5 -0.777778 9 1
1231094 10 200 -1 -0.777778 10 1
1231094 11 10 -1 -0.555556 1 2
1231094 12 10 -0.5 -0.555556 2 2
1231094 13 50 0 -0.555556 3 2
1231094 14 50 0.5 -0.555556 4 2
1231094 15 95 1 -0.555556 5 2
1231094 16 95 1 -0.555556 6 2
1231094 17 145 0.5 -0.555556 7 2
1231094 18 145 0 -0.555556 8 2
1231094 19 200 -0.5 -0.555556 9 2
1231094 20 200 -1 -0.555556 10 2
1231094 21 10 -1 -0.333333 1 3
1231094 22 10 -0.5 -0.333333 2 3
1231094 23 50 0 -0.333333 3 3
1231094 24 50 0.5 -0.333333 4 3
1231094 25 95 1 -0.333333 5 3
1231094 26 95 1 -0.333333 6 3
1231094 27 145 0.5 -0.333333 7 3
1231094 28 145 0 -0.333333 8 3
1231094 29 200 -0.5 -0.333333 9 3
1231094 30 200 -1 -0.333333 10 3
1231094 31 10 -1 -0.111111 1 4
1231094 32 10 -0.5 -0.111111 2 4
1231094 33 50 0 -0.111111 3 4
1231094 34 50 0.5 -0.111111 4 4
1231094 35 95 1 -0.111111 5 4
1231094 36 95 1 -0.111111 6 4
1231094 37 145 0.5 -0.111111 7 4
1231094 38 145 0 -0.111111 8 4
1231094 39 200 -0.5 -0.111111 9 4
1231094 40 200 -1 -0.111111 10 4
1231094 41 10 -1 0.111111 1 5
1231094 42 10 -0.5 0.111111 2 5
1231094 43 50 0 0.111111 3 5
1231094 44 50 0.5 0.111111 4 5
1231094 45 95 1 0.111111 5 5
1231094 46 95 1 0.111111 6 5
1231094 47 145 0.5 0.111111 7 5
1231094 48 145 0 0.111111 8 5
1231094 49 200 -0.5 0.111111 9 5
1231094 50 200 -1 0.111111 10 5
1231094 51 10 -1 0.333333 1 6
1231094 52 10 -0.5 0.333333 2 6
1231094 53 50 0 0.333333 3 6
1231094 54 50 0.5 0.333333 4 6
1231094 55 95 1 0.333333 5 6
1231094 56 95 1 0.333333 6 6
1231094 57 145 0.5 0.333333 7 6
1231094 58 145 0 0.333333 8 6
1231094 59 200 -0.5 0.333333 9 6
1231094 60 200 -1 0.333333 10 6
1231094 61 10 -1 0.555556 1 7
1231094 62 10 -0.5 0.555556 2 7
1231094 63 50 0 0.555556 3 7
1231094 64 50 0.5 0.555556 4 7
1231094 65 95 1 0.555556 5 7
1231094 66 95 1 0.555556 6 7
1231094 67 145 0.5 0.555556 7 7
1231094 68 145 0 0.555556 8 7
1231094 69 200 -0.5 0.555556 9 7
1231094 70 200 -1 0.555556 10 7
1231094 71 10 -1 0.777778 1 8
1231094 72 10 -0.5 0.777778 2 8
1231094 73 50 0 0.777778 3 8
1231094 74 50 0.5 0.777778 4 8
1231094 75 95 1 0.777778 5 8
1231094 76 95 1 0.777778 6 8
1231094 77 145 0.5 0.777778 7 8
1231094 78 145 0 0.777778 8 8
1231094 79 200 -0.5 0.777778 9 8
1231094 80 200 -1 0.777778 10 8
1231094 81 10 -1 1 1 9
1231094 82 10 -0.5 1 2 9
1231094 83 50 0 1 3 9
1231094 84 50 0.5 1 4 9
1231094 85 95 1 1 5 9
1231094 86 95 1 1 6 9
1231094 87 145 0.5 1 7 9
1231094 88 145 0 1 8 9
1231094 89 200 -0.5 1 9 9
1231094 90 200 -1 1 10 9
1231094 91 10 -1 0.777778 1 10
1231094 92 10 -0.5 0.777778 2 10
1231094 93 50 0 0.777778 3 10
1231094 94 50 0.5 0.777778 4 10
1231094 95 95 1 0.777778 5 10
1231094 96 95 1 0.777778 6 10
1231094 97 145 0.5 0.777778 7 10
1231094 98 145 0 0.777778 8 10
1231094 99 200 -0.5 0.777778 9 10
1231094 100 200 -1 0.777778 10 10
