"level" "reps" "arch" "demog_name" "demog_level_sub" "demog_level" "MIG_x" "MIG_y" "xcline" "ycline" "demog" "METAPOP_SIDE_x" "METAPOP_SIDE_y" "Nequal" "isVariableM" "MIG_breaks" "arch_level_sub" "arch_level" "MU_base" "MU_QTL_proportion" "SIGMA_QTN_1" "SIGMA_QTN_2" "SIGMA_K_1" "SIGMA_K_2" "N_traits" "ispleiotropy" "seed"
"highly-polygenic_2-trait-no-pleiotropy-equal-S__SS-Mtn_N-equal_m-constant" 6 "highly-polygenic_2-trait-no-pleiotropy-equal-S" "SS-Mtn_N-equal_m-constant" "N-equal_m-constant" "SS-Mtn" 0.01 0.01 "V" "linear" "SS" 10 10 0 0 0 "2-trait-no-pleiotropy-equal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 0.5 2 0 1232247
"highly-polygenic_2-trait-no-pleiotropy-equal-S__SS-Mtn_N-variable_m-variable" 6 "highly-polygenic_2-trait-no-pleiotropy-equal-S" "SS-Mtn_N-variable_m-variable" "N-variable_m-variable" "SS-Mtn" 0.01 0.01 "V" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-equal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 0.5 2 0 1232248
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__Est-Clines_N-cline-center-to-edge_m-constant" 6 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "Est-Clines_N-cline-center-to-edge_m-constant" "N-cline-center-to-edge_m-constant" "Est-Clines" 0.49 0.01 "linear" "linear" "Estuary" 10 10 4 0 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1232249
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__Est-Clines_N-cline-N-to-S_m-constant" 6 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "Est-Clines_N-cline-N-to-S_m-constant" "N-cline-N-to-S_m-constant" "Est-Clines" 0.49 0.01 "linear" "linear" "Estuary" 10 10 2 0 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1232250
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__Est-Clines_N-equal_m-constant" 6 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "Est-Clines_N-equal_m-constant" "N-equal_m-constant" "Est-Clines" 0.49 0.01 "linear" "linear" "Estuary" 10 10 0 0 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1232252
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__SS-Clines_N-cline-center-to-edge_m-constant" 6 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "SS-Clines_N-cline-center-to-edge_m-constant" "N-cline-center-to-edge_m-constant" "SS-Clines" 0.01 0.01 "linear" "linear" "SS" 10 10 4 0 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1232254
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__SS-Clines_N-cline-N-to-S_m-constant" 6 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "SS-Clines_N-cline-N-to-S_m-constant" "N-cline-N-to-S_m-constant" "SS-Clines" 0.01 0.01 "linear" "linear" "SS" 10 10 2 0 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1232255
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__SS-Clines_N-equal_m_breaks" 6 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "SS-Clines_N-equal_m_breaks" "N-equal_m_breaks" "SS-Clines" 0.01 0.01 "linear" "linear" "SS" 10 10 0 0 1 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1232256
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__SS-Clines_N-equal_m-constant" 6 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "SS-Clines_N-equal_m-constant" "N-equal_m-constant" "SS-Clines" 0.01 0.01 "linear" "linear" "SS" 10 10 0 0 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1232257
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__SS-Clines_N-variable_m-variable" 6 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.01 0.01 "linear" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1232258
