"level" "reps" "arch" "demog_name" "demog_level_sub" "demog_level" "MIG_x" "MIG_y" "xcline" "ycline" "demog" "METAPOP_SIDE_x" "METAPOP_SIDE_y" "Nequal" "isVariableM" "MIG_breaks" "arch_level_sub" "arch_level" "MU_base" "MU_QTL_proportion" "SIGMA_QTN_1" "SIGMA_QTN_2" "SIGMA_K_1" "SIGMA_K_2" "N_traits" "ispleiotropy" "seed"
"highly-polygenic_1-trait__SS-Clines_N-variable_m-variable" 1 "highly-polygenic_1-trait" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.03 0.03 "linear" "linear" "SS" 10 10 3 1 0 "1-trait" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 0.5 1 0 1231103
"highly-polygenic_1-trait__SS-Mtn_N-variable_m-variable" 1 "highly-polygenic_1-trait" "SS-Mtn_N-variable_m-variable" "N-variable_m-variable" "SS-Mtn" 0.03 0.03 "V" "linear" "SS" 10 10 3 1 0 "1-trait" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 0.5 1 0 1231108
"highly-polygenic_2-trait-no-pleiotropy-equal-S__SS-Clines_N-variable_m-variable" 1 "highly-polygenic_2-trait-no-pleiotropy-equal-S" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.03 0.03 "linear" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-equal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 0.5 2 0 1231118
"highly-polygenic_2-trait-no-pleiotropy-equal-S__SS-Mtn_N-variable_m-variable" 1 "highly-polygenic_2-trait-no-pleiotropy-equal-S" "SS-Mtn_N-variable_m-variable" "N-variable_m-variable" "SS-Mtn" 0.03 0.03 "V" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-equal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 0.5 2 0 1231123
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__SS-Clines_N-variable_m-variable" 1 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.03 0.03 "linear" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1231133
"highly-polygenic_2-trait-no-pleiotropy-unequal-S__SS-Mtn_N-variable_m-variable" 1 "highly-polygenic_2-trait-no-pleiotropy-unequal-S" "SS-Mtn_N-variable_m-variable" "N-variable_m-variable" "SS-Mtn" 0.03 0.03 "V" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 0 1231138
"highly-polygenic_2-trait-pleiotropy-equal-S__SS-Clines_N-variable_m-variable" 1 "highly-polygenic_2-trait-pleiotropy-equal-S" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.03 0.03 "linear" "linear" "SS" 10 10 3 1 0 "2-trait-pleiotropy-equal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 0.5 2 1 1231148
"highly-polygenic_2-trait-pleiotropy-equal-S__SS-Mtn_N-variable_m-variable" 1 "highly-polygenic_2-trait-pleiotropy-equal-S" "SS-Mtn_N-variable_m-variable" "N-variable_m-variable" "SS-Mtn" 0.03 0.03 "V" "linear" "SS" 10 10 3 1 0 "2-trait-pleiotropy-equal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 0.5 2 1 1231153
"highly-polygenic_2-trait-pleiotropy-unequal-S__SS-Clines_N-variable_m-variable" 1 "highly-polygenic_2-trait-pleiotropy-unequal-S" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.03 0.03 "linear" "linear" "SS" 10 10 3 1 0 "2-trait-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 1 1231163
"highly-polygenic_2-trait-pleiotropy-unequal-S__SS-Mtn_N-variable_m-variable" 1 "highly-polygenic_2-trait-pleiotropy-unequal-S" "SS-Mtn_N-variable_m-variable" "N-variable_m-variable" "SS-Mtn" 0.03 0.03 "V" "linear" "SS" 10 10 3 1 0 "2-trait-pleiotropy-unequal-S" "highly-polygenic" 1e-07 0.25 0.002 0.002 0.5 4 2 1 1231168
"mod-polygenic_1-trait__SS-Clines_N-variable_m-variable" 1 "mod-polygenic_1-trait" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.03 0.03 "linear" "linear" "SS" 10 10 3 1 0 "1-trait" "mod-polygenic" 1e-07 0.1 0.1 0.1 0.5 0.5 1 0 1231178
"mod-polygenic_1-trait__SS-Mtn_N-variable_m-variable" 1 "mod-polygenic_1-trait" "SS-Mtn_N-variable_m-variable" "N-variable_m-variable" "SS-Mtn" 0.03 0.03 "V" "linear" "SS" 10 10 3 1 0 "1-trait" "mod-polygenic" 1e-07 0.1 0.1 0.1 0.5 0.5 1 0 1231183
"mod-polygenic_2-trait-no-pleiotropy-equal-S__SS-Clines_N-variable_m-variable" 1 "mod-polygenic_2-trait-no-pleiotropy-equal-S" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.03 0.03 "linear" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-equal-S" "mod-polygenic" 1e-07 0.1 0.1 0.1 0.5 0.5 2 0 1231193
"mod-polygenic_2-trait-no-pleiotropy-equal-S__SS-Mtn_N-variable_m-variable" 1 "mod-polygenic_2-trait-no-pleiotropy-equal-S" "SS-Mtn_N-variable_m-variable" "N-variable_m-variable" "SS-Mtn" 0.03 0.03 "V" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-equal-S" "mod-polygenic" 1e-07 0.1 0.1 0.1 0.5 0.5 2 0 1231198
"mod-polygenic_2-trait-no-pleiotropy-unequal-S__SS-Clines_N-variable_m-variable" 1 "mod-polygenic_2-trait-no-pleiotropy-unequal-S" "SS-Clines_N-variable_m-variable" "N-variable_m-variable" "SS-Clines" 0.03 0.03 "linear" "linear" "SS" 10 10 3 1 0 "2-trait-no-pleiotropy-unequal-S" "mod-polygenic" 1e-07 0.1 0.1 0.1 0.5 4 2 0 1231208
