"seed" "n_samp_tot" "n_samp_per_pop" "sd_fitness_among_inds" "sd_fitness_among_pops" "final_LA" "K" "Bonf_alpha" "numCausalLowMAFsample" "all_corr_phen_temp" "subsamp_corr_phen_temp" "all_corr_phen_sal" "subsamp_corr_phen_sal" "num_causal_prefilter" "num_causal_postfilter" "num_non_causal" "num_neut" "num_causal_temp" "num_causal_sal" "LEA3.2_lfmm2_Va_temp_prop" "LEA3.2_lfmm2_Va_sal_prop" "LEA3.2_lfmm2_TPR_temp" "LEA3.2_lfmm2_TPR_sal" "LEA3.2_lfmm2_FDR_allSNPs_temp" "LEA3.2_lfmm2_FDR_allSNPs_sal" "LEA3.2_lfmm2_FDR_neutSNPs_temp" "LEA3.2_lfmm2_FDR_neutSNPs_sal" "LEA3.2_lfmm2_AUCPR_temp_allSNPs" "LEA3.2_lfmm2_AUCPR_temp_neutSNPs" "LEA3.2_lfmm2_AUCPR_sal_allSNPs" "LEA3.2_lfmm2_AUCPR_sal_neutSNPs" "RDA_Va_temp_prop" "RDA_Va_sal_prop" "RDA_TPR" "RDA_FDR_allSNPs" "RDA_FDR_neutSNPs" "RDA_AUCPR_allSNPs" "RDA_AUCPR_neutSNPs" "cor_RDA20000_RDloadings_tempPhen" "cor_RDA20000_RDloadings_salPhen" "cor_VA_temp_prop" "cor_VA_sal_prop" "cor_TPR_temp" "cor_TPR_sal" "cor_FDR_allSNPs_temp" "cor_FDR_neutSNPs_temp" "cor_FDR_allSNPs_sal" "cor_FDR_neutSNPs_sal" "cor_AUCPR_temp_allSNPs" "cor_AUCPR_temp_neutSNPs" "cor_AUCPR_sal_allSNPs" "cor_AUCPR_sal_neutSNPs" "median_causal_temp_cor" "median_causal_sal_cor" "median_neut_temp_cor" "median_neut_sal_cor" "cor_PC1_temp" "cor_PC1_sal" "cor_PC2_temp" "cor_PC2_sal" "cor_LFMMU1_temp" "cor_LFMMU1_sal" "cor_LFMMU2_temp" "cor_LFMMU2_sal" "cor_PC1_LFMMU1_temp" "cor_PC1_LFMMU1_sal" "cor_PC2_LFMMU1_temp" "cor_PC2_LFMMU1_sal" "cor_af_temp_noutliers" "cor_af_sal_noutliers" "nSNPs" "cor_FPR_temp_neutSNPs" "cor_FPR_sal_neutSNPs" "LEA3.2_lfmm2_mlog10P_tempenv_noutliers" "LEA3.2_lfmm2_mlog10P_salenv_noutliers" "LEA3.2_lfmm2_num_causal_sig_temp" "LEA3.2_lfmm2_num_neut_sig_temp" "LEA3.2_lfmm2_num_causal_sig_sal" "LEA3.2_lfmm2_FPR_neutSNPs_temp" "LEA3.2_lfmm2_FPR_neutSNPs_sal" "X....RDA1_temp_cor" "RDA1_sal_cor" "RDA2_temp_cor" "RDA2_sal_cor" "RDA_mlog10P_sig_noutliers" "RDA_RDA1Loading_cor_tempEffect" "RDA_RDA1Loading_cor_salEffect" "RDA_RDA2Loading_cor_tempEffect" "RDA_RDA2Loading_cor_salEffect"
"1231094" 1000 10 0.0444533456694669 0.0139253426396849 0.508658 9 2.40743415667582e-06 64 0.963145626833818 0.902429893001608 NA NA 2719 337 20432 10270 337 0 0.412624185775959 NA 0.109792284866469 NA 0.992877767083734 NA 0.985642219635235 NA 0.0181636707835412 0.0367067653571269 NA NA 0 0 0 1 1 0.0104832308015245 0.0207708099263431 0.865009009009009 NA 0.72451566684943 0 0.353115727002967 NA 0.989308176100629 0.979479220555268 NA NA 0.0115722014255564 0.0229586040996618 NA NA 0.302740524393925 NA 0.407354799100926 0.0292752928138824 -0.994492566364704 -0.000943206248934371 0.00353688811072486 0.0040350681720463 -0.0204950781905084 -0.000757393244718972 0.32937784615487 -0.00558867919232965 0.0246803001414081 0.99956603955188 0.998303594544755 0.00465565375968547 11130 0 20769 0.553067185978578 0 5195 0 37 2540 0 0.247322297955209 0 0.999999567377253 0.000930185629689622 -0.000930185629689698 0.999999567377252 84 0.398754864454284 NA 0.018777576422611 NA
"1231095" 1000 10 0.041029653773683 0.0143136192093655 0.507174 9 2.2514409221902e-06 96 0.963024179306987 0.904606628671867 NA NA 3128 396 21812 10769 394 0 0.388121113387813 NA 0.0532994923857868 NA 0.990869565217391 1 0.982529118136439 1 0.021852419726772 0.0431057968111787 NA NA 0.107725579982387 0 0.0202020202020202 0.996569468267582 0.993322203672788 0.0111949465962368 0.0223928605396918 0.865421421421421 NA 0.724017196038857 0 0.408629441624365 NA 0.988084665482534 0.977130681818182 NA NA 0.0119799814364579 0.0238361162698025 NA NA 0.329231520076051 NA 0.471547901561969 0.0259919694650753 -0.984834425862358 -0.00149100528714143 -0.103131475231807 0.000450490351936998 -0.421927994779892 -0.00114031689173346 -0.609286727830205 -0.00279110844062788 0.506234296161443 0.996414009524978 -0.854961969109115 -0.0833575031979866 13512 0 22208 0.638777973813725 0 2300 5 21 1181 0 0.109666635713622 0.000185718265391401 0.99999932116591 0.00116518999192468 -0.00116518999192479 0.999999321165911 2332 0.398913302924941 NA -0.0026557544369957 NA
"1231096" 1000 10 0.045804930865781 0.0173892596450506 0.508212 9 1.1671335200747e-06 25 0.977871513893273 0.90348873147687 NA NA 3204 469 42371 21307 468 0 0.113018656596942 NA 0.00641025641025641 NA 0.996519721577726 NA 0.993288590604027 NA 0.011160620252678 0.0217997934547599 NA NA 0 0 0 1 1 0.00658206868067144 0.0129296586034182 0.857653653653654 NA 0.640704607098273 0 0.444444444444444 NA 0.993312542198502 0.986734693877551 NA NA 0.00668111358372754 0.0131174909043382 NA NA 0.353278713314058 NA 0.623475679143585 0.0138112341153972 -0.974506455932166 0.00013709383496813 -0.0244776929671813 0.000714586115280764 -0.0697233288884843 -0.000205579764178515 -0.769522140569465 0.000454323453925908 0.0967192814548554 -0.999930386009999 -0.995025505774555 0.00507840080115914 31103 0 42840 0.726146336884592 0 862 0 3 444 0 0.0208382221805041 0 0.999999971356984 -0.000239344997038598 0.00023934499703856 0.999999971356984 10 0.356743733761564 NA 0.0193808934757391 NA
"1231099" 1000 10 0.0551313250463588 0.017710828193552 0.499038 7 2.75072894316994e-06 65 0.949229855262511 0.885180528358799 NA NA 3080 363 17814 8919 363 0 0.0559560381991524 NA 0.00275482093663912 NA 0.8 NA 0.5 NA 0.0184925233059127 0.0360540150209265 NA NA 0.167830892990092 0 0.0220385674931129 0.993226079593565 0.985102420856611 0.0146816330044557 0.0310587375440138 0.841373373373373 NA 0.657087575364318 0 0.341597796143251 NA 0.974883532509621 0.955491744436468 1 1 0.024813538030598 0.0478142795927845 NA NA 0.296533955783123 NA 0.237462589886706 0.207117710939637 0.987509395320166 -0.0249251619740511 0.0172133102864915 0.981753875117874 0.00864706603660296 -0.00894259296087495 -0.0125028589508792 -0.0438249216301853 0.0255256294575135 0.999073075889721 -0.998698329967365 0.0175873230017746 4937 3489 18177 0.298463953358 0.190940688417984 5 0 1 1 0 0.000112120192846732 0 0.997914699309688 -0.0645465173472515 0.0645465173472511 0.997914699309686 1181 0.397472818655053 NA 0.0839285465265243 NA
"1231100" 1000 10 0.0599710344840824 0.0220497620549864 0.496103 2 2.61670504500733e-06 108 0.94622902088867 0.880011736172938 NA NA 3247 426 18682 9342 426 0 0 NA 0 NA NA NA NA NA 0.0210047666965426 0.0407800389410999 NA NA 0.383527449406794 0 0.0633802816901408 0.990326048011465 0.980392156862745 0.0153960962691988 0.0304972480642851 0.825826382524543 NA 0.669435873170644 0 0.312206572769953 NA 0.979799513973268 0.963431399505087 1 1 0.0203208172639599 0.0409173934658221 NA NA 0.313408385772405 NA 0.295428029403406 0.195824075578431 -0.956766019192508 -0.140514800491644 0.167001425337282 -0.879615788680098 -0.106235757793979 -0.07237103156119 0.425629147266878 -0.500981040675115 0.279301506810428 0.993641057545727 0.944472207868803 -0.0616203052491321 6584 2748 19108 0.375080282594733 0.142474844786984 0 0 0 0 0 0 0 0.990819300621472 0.135192875241191 -0.135192875241191 0.990819300621472 2791 0.426276745532882 NA -0.107879247186302 NA
"1231101" 1000 10 0.0555484185097078 0.0208507858845912 0.504206 14 1.13204129686651e-06 29 0.975111238856102 0.891191862331899 NA NA 3388 533 43635 22087 532 0 0.0665441193854491 NA 0.0150375939849624 NA 0.983606557377049 NA 0.968992248062015 NA 0.0137651209550254 0.026346088368441 NA NA 0 0 0 1 1 0.00734689054016006 0.0143372300655521 0.752052052052052 NA 0.674204588889878 0 0.383458646616541 NA 0.993327445785497 0.986676245836327 1 1 0.00742861401620284 0.0145238988877411 NA NA 0.359496828322553 NA 0.601070628368169 0.0573874932859534 -0.9706595678389 -0.00438442990448552 -0.00987786079647011 -0.00927179312292944 -0.0176568178316967 -0.00489178182795671 -0.787804024037865 -0.00844606057163228 0.0285444213990251 0.99997046993003 -0.999403660584454 0.00375143439247463 30573 15 44168 0.683977000045276 0.000226377507130891 488 0 8 250 0 0.0113188753565446 0 0.999986622758246 0.0051724563361685 -0.00517245633616845 0.999986622758249 8 0.37933419749077 NA -0.00834325324555796 NA
"1231102" 1000 10 0.0593985190723117 0.0199435449585278 0.49362 3 2.32374401635916e-06 27 0.968093627783671 0.880514889499678 NA NA 3274 507 21010 10560 506 0 0 NA 0 NA NA NA NA NA 0.0222974712260299 0.043566753895688 NA NA 0.141618118657003 0 0.0276134122287968 0.990463215258856 0.977011494252874 0.0164823127034978 0.0326390968808486 0.840548548548548 NA 0.590902735471782 0 0.286561264822134 NA 0.96682681308625 0.942483141610472 1 1 0.0318465149728754 0.0660235378170783 NA NA 0.310623385879255 NA 0.225919875068725 0.206798912639703 -0.986626340946475 0.0365018533140945 -0.0333085719001896 -0.983266710394732 0.0152035815770306 0.0133946460956865 -0.0151479864234642 -0.0291896343741434 -0.0500879962258153 0.999138781273206 0.997689807213063 0.0237652748884066 4371 3430 21517 0.225 0.164488636363636 0 0 0 0 0 0 0 0.994341225993499 -0.10623335770721 0.10623335770721 0.994341225993499 1468 0.475707504254091 NA 0.0781195845509692 NA
"1231104" 1000 10 0.0577100688759532 0.0194734017328427 0.499045 3 2.72613270814023e-06 73 0.943981696969557 0.883288199193789 NA NA 3149 411 17930 8994 411 0 0 NA 0 NA NA NA NA NA 0.0230571380804599 0.0425559377105282 NA NA 0.0426772708634434 0 0.0097323600973236 0.994082840236686 0.988603988603989 0.0160258049382629 0.0310551997439571 0.838187864241648 NA 0.528376609859094 0 0.272506082725061 NA 0.974820143884892 0.954965822275834 1 1 0.0244750255977085 0.0493483588982014 NA NA 0.27311923332299 NA 0.224539776878788 0.128452951319956 -0.983439522460723 -0.0082364995850633 0.0609637874932688 -0.00742202469117283 -0.0114900783840473 -0.00720479188797537 0.0674167725202392 0.00736524119777048 0.0769184363508157 0.998643432754258 0.995539500676166 0.0367029320759517 4448 504 18341 0.264064932177007 0.0243495663775851 0 0 0 0 0 0 0 0.999978608320482 0.00654086396713629 -0.00654086396713649 0.999978608320478 676 0.421394664963961 NA -0.0227988673348115 NA
"1231105" 1000 10 0.056206888941224 0.020267516945083 0.493661 2 2.60254007911722e-06 103 0.946645855691592 0.881628568214694 NA NA 3262 419 18793 9474 418 0 0 NA 0 NA NA NA NA NA 0.0212968477353083 0.0420756376982859 NA NA 0.350600664390021 0 0.0572792362768496 0.989338071968014 0.977443609022556 0.0154806186144676 0.030741051677368 0.82590990990991 NA 0.587619837558325 0 0.303827751196172 NA 0.981168446026097 0.964692799555185 1 1 0.0193012984392287 0.0382518817683548 NA NA 0.293173858972112 NA 0.2954716011306 0.0985160033972192 -0.974190538139839 0.0316403146171121 -0.0498504323719313 0.0405704904550252 -0.00984205659690308 -0.0376433984483664 -0.384064976129816 0.0453649295100545 0.0561933427960985 -0.997239859928309 -0.986494091975472 -0.00409976116991715 6744 127 19212 0.36626556892548 0.00643867426641334 0 0 0 0 0 0 0 0.999246439075287 -0.0388143529556116 0.0388143529556117 0.999246439075284 2251 0.448428716686644 NA 0.0543912967677641 NA
"1231107" 1000 10 0.0604378404198007 0.018648907480982 0.493876 3 2.35294117647059e-06 26 0.968327643166222 0.882961607888729 NA NA 3310 513 20737 10324 509 0 0 NA 0 NA NA NA NA NA 0.0226402070660692 0.0444314232537814 NA NA 0.14146585611482 0 0.0175438596491228 0.993012422360248 0.984070796460177 0.016371763652603 0.0326167322643026 0.843139139139139 NA 0.545851127438862 0 0.269155206286837 NA 0.970352737502705 0.948007590132827 1 1 0.0309317670142503 0.0634763736995662 NA NA 0.315665918573624 NA 0.230305067301647 0.100301625983373 -0.981303236905444 -0.0197243821368527 -0.109154415657693 0.00117710491500886 -0.029677782869527 0.0160908547051299 0.0599945897120729 -0.00525722175220159 0.140630257419192 -0.999443948776948 -0.989472468735239 0.0152406275387912 4621 120 21250 0.24196048043394 0.00493994575745835 0 0 0 0 0 0 0 0.999822141718133 0.0188596110820718 -0.0188596110820719 0.999822141718132 1288 0.49065314450601 NA -0.0100302951884945 NA
