"seed" "n_samp_tot" "n_samp_per_pop" "sd_fitness_among_inds" "sd_fitness_among_pops" "final_LA" "K" "Bonf_alpha" "numCausalLowMAFsample" "all_corr_phen_temp" "subsamp_corr_phen_temp" "all_corr_phen_sal" "subsamp_corr_phen_sal" "num_causal_prefilter" "num_causal_postfilter" "num_non_causal" "num_neut" "num_causal_temp" "num_causal_sal" "num_multiallelic" "meanFst" "va_temp_total" "va_sal_total" "Va_temp_sample" "Va_sal_sample" "LEA3.2_lfmm2_Va_temp_prop" "LEA3.2_lfmm2_Va_sal_prop" "LEA3.2_lfmm2_TPR_temp" "LEA3.2_lfmm2_TPR_sal" "LEA3.2_lfmm2_FDR_allSNPs_temp" "LEA3.2_lfmm2_FDR_allSNPs_sal" "LEA3.2_lfmm2_FDR_neutSNPs_temp" "LEA3.2_lfmm2_FDR_neutSNPs_sal" "LEA3.2_lfmm2_AUCPR_temp_allSNPs" "LEA3.2_lfmm2_AUCPR_temp_neutSNPs" "LEA3.2_lfmm2_AUCPR_sal_allSNPs" "LEA3.2_lfmm2_AUCPR_sal_neutSNPs" "RDA_Va_temp_prop" "RDA_Va_sal_prop" "RDA_TPR" "RDA_FDR_allSNPs" "RDA_FDR_neutSNPs" "RDA_AUCPR_allSNPs" "RDA_AUCPR_neutSNPs" "cor_RDA20000_RDloadings_tempPhen" "cor_RDA20000_RDloadings_salPhen" "cor_VA_temp_prop" "cor_VA_sal_prop" "cor_TPR_temp" "cor_TPR_sal" "cor_FDR_allSNPs_temp" "cor_FDR_neutSNPs_temp" "cor_FDR_allSNPs_sal" "cor_FDR_neutSNPs_sal" "cor_AUCPR_temp_allSNPs" "cor_AUCPR_temp_neutSNPs" "cor_AUCPR_sal_allSNPs" "cor_AUCPR_sal_neutSNPs" "median_causal_temp_cor" "median_causal_sal_cor" "median_neut_temp_cor" "median_neut_sal_cor" "cor_PC1_temp" "cor_PC1_sal" "cor_PC2_temp" "cor_PC2_sal" "cor_LFMMU1_temp" "cor_LFMMU1_sal" "cor_LFMMU2_temp" "cor_LFMMU2_sal" "cor_PC1_LFMMU1_temp" "cor_PC1_LFMMU1_sal" "cor_PC2_LFMMU1_temp" "cor_PC2_LFMMU1_sal" "cor_af_temp_noutliers" "cor_af_sal_noutliers" "nSNPs" "cor_FPR_temp_neutSNPs" "cor_FPR_sal_neutSNPs" "LEA3.2_lfmm2_mlog10P_tempenv_noutliers" "LEA3.2_lfmm2_mlog10P_salenv_noutliers" "LEA3.2_lfmm2_num_causal_sig_temp" "LEA3.2_lfmm2_num_neut_sig_temp" "LEA3.2_lfmm2_num_causal_sig_sal" "LEA3.2_lfmm2_FPR_neutSNPs_temp" "LEA3.2_lfmm2_FPR_neutSNPs_sal" "RDA1_propvar" "RDA2_propvar" "RDA1_temp_cor" "RDA1_sal_cor" "RDA2_temp_cor" "RDA2_sal_cor" "RDA_mlog10P_sig_noutliers" "RDA_RDAmutpred_cor_tempEffect" "RDA_RDAmutpred_cor_salEffect" "RDA_absRDAmutpred_cor_tempVa" "RDA_absRDAmutpred_cor_salVa"
"1231094" 1000 10 0.0566053540679002 0.0177662680870093 0.501037 9 1.83958793230316e-06 54 0.952253509724079 0.884561297248762 NA NA 2899 358 26822 14077 328 0 0 0.184230784490107 0.0131053690690625 0 0.0149892551791236 0 0.160959155045734 NA 0.0182926829268293 NA 0.958904109589041 NA 0.896551724137931 NA 0.0129555431225348 0.0250725751123623 NA NA 0.12667758144702 0 0.00837988826815642 0.992125984251969 0.980645161290323 0.00877569655283974 0.0167441033959353 0.848527375903704 NA 0.750890279188462 0 0.466463414634146 NA 0.988929889298893 0.977784231160157 NA NA 0.0102581149821961 0.0198917027109421 NA NA 0.358047976421037 NA 0.373480328456936 0.0467642402492031 -0.995870860898015 -0.000166100024686143 0.00620848182806187 -0.0191520933530079 -0.00572237842982954 -0.000142180889969827 0.0686409180426697 0.0167830057158305 0.0117521155938474 -0.999664942927898 0.998387339166755 0.0037859034322737 13821 0 27180 0.478368970661363 0 146 0 6 52 0 0.00369396888541593 0 0.986 0.014 0.99999997553148 -0.000221217175530419 0.000221217175530232 0.999999975531483 381 0.341438834444041 NA 0.026041730019075 NA
"1231095" 1000 10 0.0580135770185608 0.0174379579651993 0.495312 9 1.64902212987698e-06 NA 0.950876938173131 0.881901542958246 NA NA 3461 377 29944 15729 339 0 1 0.16185399294994 0.0132290264164732 0 0.0140926285752871 0 0 NA 0 NA NA 1 NA 1 0.0104980356646079 0.0196712960221011 NA NA 0.502821891290213 0 0.0477453580901857 0.994910941475827 0.990712074303406 0.00811897116116428 0.0153662513408721 0.844703548252223 NA 0.747999923912287 0 0.501474926253687 NA 0.990870032223416 0.981428883548176 1 NA 0.0088701817535708 0.0168860747684286 NA NA 0.400642341389781 NA 0.453816681960113 0.0434813178273152 -0.98170934693133 0.00431790232866442 -0.109384036153185 -0.0160911684120295 -0.602678215446209 -0.00472266539155337 0.432633183521464 0.0110539661615028 0.688410833591377 -0.996698876762074 -0.720467326558801 0.0800631484016271 18620 1 30321 0.571174264098163 0 0 1 0 0 0 0 6.35768326021998e-05 0.988 0.012 0.999990728379275 -0.0043061764349898 0.00430617643498998 0.999990728379274 3537 0.413945142982082 NA 0.0444173199072525 NA
"1231096" 1000 10 0.0554643201448689 0.0195779912639264 0.502333 9 1.4811303987203e-06 24 0.972890363223084 0.89439368863757 NA NA 3419 491 33267 17338 442 0 0 0.108605410246296 0.012950082020537 0 0.0127377250469855 0 0 NA 0 NA 1 NA NA NA 0.0135473689268192 0.0259613966162219 NA NA 0.0472302781852154 0 0.00814663951120163 0.997045790251108 0.994269340974212 0.00928700247883911 0.0178149692992111 0.85443043043043 NA 0.715845024862387 0 0.529411764705882 NA 0.986264381310167 0.972609153693082 NA NA 0.01249709399651 0.0239638198377388 NA NA 0.418182518658249 NA 0.376308139993049 0.0426162351429341 -0.988187554481798 -0.00191359210459146 0.0204991474271575 0.00242296807705144 -0.0347014672705794 -0.0027458943344296 0.417109033809727 -0.00246820785868127 0.0554533685889322 0.999883775469767 0.9978650191465 -0.00497604550777405 17036 0 33758 0.479236359441689 0 2 0 0 0 0 0 0 0.984 0.016 0.999995704415769 0.00293106636050759 -0.00293106636050771 0.999995704415769 1354 0.43796988605782 NA 0.0175517163120037 NA
"1231097" 1000 10 0.0592110611346959 0.0195681244038525 0.498779 9 1.48969133595519e-06 23 0.970894300917991 0.884147000763424 NA NA 3477 516 33048 17318 469 0 0 0.0895691771081281 0.0131642666998981 0 0.0129167530313339 0 0.0914386204997617 NA 0.00639658848614072 NA 0.4 NA 0 NA 0.0136079129613255 0.0258418107220796 NA NA 0.140573351231478 0 0.0155038759689922 0.994281629735525 0.988059701492537 0.0100273050623942 0.0191256814911048 0.84791991991992 NA 0.638857328030482 0 0.533049040511727 NA 0.983596876845351 0.967993854820125 NA NA 0.0152328641388081 0.0298411352322298 NA NA 0.412678806662463 NA 0.341270412782982 0.0449718170789804 -0.991364600766682 -0.00652977929979163 -0.00353463377769598 0.0104383284359083 0.00302399230160239 -0.00735405937256662 -0.425423412927419 0.0107852040621353 -0.00735914490043965 0.999859265069655 0.999315500453876 0.00299634818591829 15241 0 33564 0.436597759556531 0 5 0 3 0 0 0 0 0.979 0.021 0.99996982455316 0.00776852515729847 -0.00776852515729842 0.99996982455316 1399 0.404760951715719 NA 0.0278545908571643 NA
"1231098" 1000 10 0.0628791672684489 0.0225372402399099 0.492984 6 5.99304806424548e-06 24 0.965613376644275 0.87454574032639 NA NA 2029 300 8043 4230 267 0 0 0.311183425567625 0.0206658953636088 0 0.0209050179492182 0 0 NA 0 NA 1 NA 1 NA 0.0326244204027964 0.0609804840663267 NA NA 0.417551422631754 0 0.09 0.973425196850394 0.944558521560575 0.0296758581641014 0.0567782301401317 0.817109109109109 NA 0.745509697069273 0 0.52059925093633 NA 0.972556762092794 0.947979041916168 1 1 0.0268243138525548 0.0518930487131338 NA NA 0.376787748717034 NA 0.433171375413275 0.0503610561994941 -0.951750885688893 -0.00765928223350552 0.228753175416443 0.0109721846493259 -0.629387835351374 -0.00933338866003474 0.233871586845998 -0.00714753702731516 0.808362286027225 0.997822067490235 0.568970692690973 0.0480040849569332 5065 1 8343 0.598817966903073 0.000236406619385343 1 0 0 1 0 0.000236406619385343 0 0.991 0.009 0.999942387322961 0.0107341527312262 -0.0107341527312263 0.999942387322962 1016 0.257360305435195 NA 0.0770681396884527 NA
"1231099" 1000 10 0.0743189095652368 0.0252007756094661 0.480142 3 1.92819405344954e-06 NA 0.928406182452991 0.860953797827214 NA NA 3127 383 25548 13641 351 0 1 0.126636762132797 0.0172671811163893 0 0.0186460575605521 0 0 NA 0 NA NA NA NA NA 0.0140685153942863 0.0260238334305713 NA NA 0.0651410374622508 0 0.0182767624020888 0.988255033557047 0.975265017667845 0.0108969891200633 0.0208362800104457 0.80442042042042 NA 0.461632196056118 0 0.310541310541311 NA 0.982807570977918 0.969156762874929 1 1 0.0172127405899118 0.0377060983855987 NA NA 0.285991180349422 NA 0.225712411707779 0.183982177061923 -0.970577731907445 -0.0398989224664259 0.0414072394433151 -0.963901877681324 0.0328652161121043 -0.0208495912015285 -0.151047885867122 -0.00807495876112668 -0.0767212292812439 0.999187183868303 -0.996391466005757 -0.0193797566021922 6340 3782 25931 0.251081299024998 0.121398724433693 0 0 0 0 0 0 0 0.597 0.403 0.998146262143479 0.060860819654398 -0.0608608196543978 0.998146262143477 596 0.42708552310558 NA 0.0393053515847176 NA
"1231100" 1000 10 0.0794040829796478 0.026326353705117 0.472857 2 1.8326430377891e-06 NA 0.926623299551585 0.850766168672804 NA NA 3422 421 26862 14240 382 0 1 0.119039757522249 0.0192403698888707 0 0.020051364134463 0 0.107459787803165 NA 0.00523560209424084 NA 0.333333333333333 NA 0 NA 0.0151359063796022 0.0287590961424098 NA NA 0.267693981177477 0 0.0498812351543943 0.990131578947368 0.979 0.0158690233584448 0.0265681007084449 0.811343343343343 NA 0.506642144622818 0 0.272251308900524 NA 0.986491752175607 0.974371611631345 1 1 0.0202354314987705 0.0367513999168323 NA NA 0.297021559081048 NA 0.256138664924911 0.163351164938604 -0.956448939611209 0.090813377470434 0.100276035281516 0.759974924685262 -0.0485737688686048 -0.0518284434846615 -0.0510332228611521 0.536710635177886 0.15584153913647 -0.997238816771621 0.985884063871139 0.0412413890222199 7699 2806 27283 0.277668539325843 0.0976123595505618 3 0 2 0 0 0 0 0.617 0.383 0.993807222369645 -0.111117976790124 0.111117976790124 0.993807222369644 2128 0.447832641153214 NA 0.0524472718413619 NA
"1231101" 1000 10 0.0677514953177461 0.0233768542059175 0.481863 1 1.49530474310665e-06 NA 0.960115583793922 0.866208781719994 NA NA 3558 517 32921 17450 459 0 1 0.0670253745092734 0.0163917993472069 0 0.0161535048859262 0 0.061249864811545 NA 0.00217864923747277 NA 0 NA 0 NA 0.0143388355640964 0.0268363453288908 NA NA 0.174575745178196 0 0.0154738878143133 0.994082840236686 0.987117552334944 0.012557643594644 0.0221287384112381 0.818917736654801 NA 0.607371349506842 0 0.335511982570806 NA 0.976648976497346 0.957138881157807 1 1 0.024262796096577 0.0469604308727339 NA NA 0.310871463255582 NA 0.212173435397445 0.146739733317992 -0.978642921245665 0.0503576813701973 0.0496285379360963 0.97518179817517 0.0727863302293526 -0.0347668416951455 NA NA -0.124900174246803 -0.999367171900641 -0.990994882063541 0.0149730012067656 6595 2074 33438 0.197077363896848 0.0531232091690544 1 0 1 0 0 0 0 0.665 0.335 0.99755995922942 -0.0698149535715317 0.0698149535715314 0.99755995922942 1352 0.521228512495098 NA 0.0548160238814862 NA
"1231102" 1000 10 0.0707325858111074 0.0221024382086987 0.479968 3 1.51460075124197e-06 NA 0.957489357062835 0.859477329833822 NA NA 3636 547 32465 17136 500 0 1 0.0570917792530195 0.018766493473027 0 0.0186534667368106 0 0.147641376573877 NA 0.002 NA 0.9 NA 0.888888888888889 NA 0.0153891937264937 0.0287004754540204 NA NA 0.174677036230347 0 0.0127970749542962 0.994841562269713 0.989928057553957 0.0132013114990352 0.0222577582457924 0.822122122122122 NA 0.481121037076958 0 0.244 NA 0.973976109215017 0.951968503937008 1 1 0.0245304116489691 0.0477088034690718 NA NA 0.264093585206195 NA 0.188002889909852 0.158338158019778 0.974835226303577 0.113465695472387 0.111868311609498 -0.968708979984725 -0.0471195594424983 -0.0333686045201846 0.032430254139518 -0.0493810547127086 -0.161583140141297 -0.995967759160247 0.985872130935531 -0.0816359554205085 4688 2640 33012 0.141106442577031 0.0734710550887022 10 0 1 8 0 0.000466853408029879 0 0.588 0.412 0.993591411130622 0.113031445746107 -0.113031445746106 0.993591411130624 1357 0.485886799769725 NA 0.0714363955482542 NA
"1231103" 1000 10 0.0857997621480093 0.0363941850678684 0.467898 2 4.60617227084293e-06 14 0.95028584106229 0.847737300046359 NA NA 2420 316 10539 5636 298 0 0 0.164049642793053 0.0204463191153126 0 0.0204765953488311 0 0.0934393190089398 NA 0.00335570469798658 NA 0.5 NA 0 NA 0.0237458198726858 0.0439651623040053 NA NA 0.183657516218874 0 0.0221518987341772 0.97741935483871 0.944 0.0228520656398115 0.0448639465305537 0.7762002002002 NA 0.583001758168549 0 0.37248322147651 NA 0.961471711211385 0.931692307692308 1 1 0.0423280289538675 0.0800111434791877 NA NA 0.315748022169257 NA 0.229308609006489 0.222059440783264 -0.609157647428261 -0.682128473052378 0.715165737696256 -0.520499902781236 0.0922743225415673 -0.117449405146936 -0.0515924484892066 0.424310070528511 -0.823508419570027 0.710845963238761 -0.562466538441813 -0.701453011441897 2881 2555 10855 0.268630234208659 0.214868701206529 2 0 1 0 0 0 0 0.568 0.432 0.744754602250704 0.667338431701935 -0.667338431701933 0.744754602250702 310 0.476437955164753 NA 0.087774276558137 NA
