"seed" "n_samp_tot" "n_samp_per_pop" "sd_fitness_among_inds" "sd_fitness_among_pops" "final_LA" "K" "Bonf_alpha" "numCausalLowMAFsample" "all_corr_phen_temp" "subsamp_corr_phen_temp" "all_corr_phen_sal" "subsamp_corr_phen_sal" "num_causal_prefilter" "num_causal_postfilter" "num_non_causal" "num_neut_prefilter" "num_neut_postfilter" "num_neut_neutralgenome" "num_causal_temp" "num_causal_sal" "num_multiallelic" "meanFst" "va_temp_total" "va_sal_total" "Va_temp_sample" "Va_sal_sample" "nSNPs" "median_causal_temp_cor" "median_causal_sal_cor" "median_neut_temp_cor" "median_neut_sal_cor" "cor_VA_temp_prop" "cor_VA_sal_prop" "cor_TPR_temp" "cor_TPR_sal" "cor_FDR_allSNPs_temp" "cor_FDR_neutSNPs_temp" "cor_FDR_allSNPs_sal" "cor_FDR_neutSNPs_sal" "num_causal_sig_temp_corr" "num_causal_sig_sal_corr" "num_notCausal_sig_temp_corr" "num_notCausal_sig_sal_corr" "num_neut_sig_temp_corr" "num_neut_sig_sal_corr" "cor_AUCPR_temp_allSNPs" "cor_AUCPR_temp_neutSNPs" "cor_AUCPR_sal_allSNPs" "cor_AUCPR_sal_neutSNPs" "cor_af_temp_noutliers" "cor_af_sal_noutliers" "cor_FPR_temp_neutSNPs" "cor_FPR_sal_neutSNPs" "LEA3.2_lfmm2_Va_temp_prop" "LEA3.2_lfmm2_Va_sal_prop" "LEA3.2_lfmm2_TPR_temp" "LEA3.2_lfmm2_TPR_sal" "LEA3.2_lfmm2_FDR_allSNPs_temp" "LEA3.2_lfmm2_FDR_allSNPs_sal" "LEA3.2_lfmm2_FDR_neutSNPs_temp" "LEA3.2_lfmm2_FDR_neutSNPs_sal" "LEA3.2_lfmm2_AUCPR_temp_allSNPs" "LEA3.2_lfmm2_AUCPR_temp_neutSNPs" "LEA3.2_lfmm2_AUCPR_sal_allSNPs" "LEA3.2_lfmm2_AUCPR_sal_neutSNPs" "LEA3.2_lfmm2_mlog10P_tempenv_noutliers" "LEA3.2_lfmm2_mlog10P_salenv_noutliers" "LEA3.2_lfmm2_num_causal_sig_temp" "LEA3.2_lfmm2_num_neut_sig_temp" "LEA3.2_lfmm2_num_causal_sig_sal" "LEA3.2_lfmm2_num_neut_sig_sal" "LEA3.2_lfmm2_FPR_neutSNPs_temp" "LEA3.2_lfmm2_FPR_neutSNPs_sal" "RDA1_propvar" "RDA2_propvar" "RDA1_propvar_corr" "RDA2_propvar_corr" "RDA1_temp_cor" "RDA1_sal_cor" "RDA2_temp_cor" "RDA2_sal_cor" "RDA_Va_temp_prop" "RDA_Va_temp_prop_corr" "RDA_Va_sal_prop" "RDA_Va_sal_prop_corr" "RDA_TPR" "RDA_TPR_corr" "RDA_FDR_allSNPs" "RDA_FDR_allSNPs_corr" "num_RDA_sig_causal" "num_RDA_sig_neutral" "num_RDA_sig_causal_corr" "num_RDA_sig_neutral_corr" "RDA_FDR_neutSNPs" "RDA_FDR_neutSNPs_corr" "RDA_AUCPR_allSNPs" "RDA_AUCPR_neutSNPs" "RDA_AUCPR_neutSNPs_corr" "RDA_FPR_neutSNPs" "RDA_FPR_neutSNPs_corr" "RDA_RDAmutpred_cor_tempEffect" "RDA_RDAmutpred_cor_salEffect" "RDA_absRDAmutpred_cor_tempVa" "RDA_absRDAmutpred_cor_salVa" "RDA_RDAmutpred_cor_tempEffect_structcorr" "RDA_RDAmutpred_cor_salEffect_structcorr" "RDA_absRDAmutpred_cor_tempVa_structcorr" "RDA_absRDAmutpred_cor_salVa_structcorr" "RDA_cor_RDA20000temppredict_tempPhen" "RDA_cor_RDA20000salpredict_salPhen" "RDA_cor_RDA20000temppredict_tempPhen_structcorr" "RDA_cor_RDA20000salpredict_salPhen_structcorr" "cor_PC1_temp" "cor_PC1_sal" "cor_PC2_temp" "cor_PC2_sal" "cor_LFMMU1_temp" "cor_LFMMU1_sal" "cor_LFMMU2_temp" "cor_LFMMU2_sal" "cor_PC1_LFMMU1_temp" "cor_PC1_LFMMU1_sal" "cor_PC2_LFMMU1_temp" "cor_PC2_LFMMU1_sal"
"1231094" 1000 10 0.0514253529769117 0.018016865040263 0.500854 2 1.92145107985551e-06 44 0.954579022839886 0.890065528176939 NA NA 2628 305 25717 26587 26587 12815 305 0 0 0.18227725866539 0.0118500762477264 0 0.0137562911271933 0 26022 0.361303443896441 NA 0.37970782649236 0.0488107912518577 0.845524357526079 0 0.475409836065574 NA 0.989242525409897 0.978732766207099 1 NA 145 0 13334 1 6673 0 0.010491599774299 0.0211560187375376 NA NA 13479 1 0.520717908700741 0 0.299725614238468 NA 0.0262295081967213 NA 0.977900552486188 NA 0.929203539823009 NA 0.0123787328188154 0.0248439924026276 NA NA 362 0 8 105 0 0 0.00819352321498244 0 0.984 0.016 0.775 0.225 0.999998579434533 0.0016855648657858 -0.00168556486578599 0.999998579434532 0 0 0 0 0 0 1 1 0 93 0 175 1 1 0.00804466785587572 0.0161025666092746 0.0157170213400655 0.00725712056184159 0.0136558720249707 0.262251941328732 NA -0.0406228621642324 NA 0.15249575330506 NA 0.00129116988902235 NA 0.856104104104104 NA -0.0270990990990991 NA -0.994139577081187 -0.00243681776959416 -0.0179229581036425 -0.00313784038722187 0.0618248197097418 -0.00165793152058092 -0.242138682351972 -0.00396861868750766 -0.0810931409744658 0.99956944119407 0.993766830323359 0.00116376321059026
"1231095" 1000 10 0.0527984102717241 0.0179837711594883 0.505075 9 1.72980453208787e-06 112 0.95457644120944 0.896325752468924 NA NA 3144 374 28531 30284 30284 14072 374 0 0 0.170481347462613 0.0134373587416924 0 0.0129628696816729 0 28905 0.42136885980222 NA 0.45416152501706 0.0406390749805756 0.812949337849766 0 0.548128342245989 NA 0.988543005644665 0.976893597835888 NA NA 205 0 17688 0 8667 0 0.0104064868182622 0.0214244970119266 NA NA 17893 0 0.615903922683343 0 0 NA 0 NA NA NA NA NA 0.0136930497681897 0.0285711408750585 NA NA 0 0 0 0 0 0 0 0 0.989 0.011 0.842 0.158 0.999998750089406 -0.00158108179046558 0.00158108179046598 0.999998750089404 0.394332224254566 0.0898687561988015 0 0 0.053475935828877 0.0267379679144385 0.994396189408798 0.995171414775471 20 1533 10 945 0.987121699935608 0.989528795811518 0.00915922721214815 0.0191164192422329 0.0180417745589748 0.108939738487777 0.0671546333143832 0.257661235409951 NA -0.0625789751814116 NA 0.146072981577458 NA 0.0121928966529717 NA 0.858886886886887 NA 0.0254454454454454 NA -0.977675443734232 0.00138765181583469 0.158414209946955 -0.00335004367333705 -0.634661614301734 -0.00112584299642289 -0.150943853021291 -0.00875652531721191 0.749642792091786 -0.996170789971219 0.655711078237505 -0.0855635327302128
"1231096" 1000 10 0.0552090893915796 0.0181116178862143 0.499265 9 1.50688647117326e-06 18 0.972302165746847 0.892311545938186 NA NA 3149 486 32695 33031 33031 16401 484 0 0 0.135178321464741 0.0140526448949245 0 0.013808738980939 0 33181 0.417518176247896 NA 0.40199182020343 0.0383712843906933 0.776341222521408 0 0.53099173553719 NA 0.985630416550182 0.971396772398442 NA NA 257 0 17628 0 8728 0 0.0127584694618693 0.0253246207604554 NA NA 17885 0 0.532162673007743 0 0 NA 0 NA NA NA NA NA 0.0139450278893118 0.027940545637001 NA NA 0 0 0 0 0 0 0 0 0.988 0.012 0.847 0.153 0.999995774164386 0.00290717274538681 -0.00290717274538676 0.999995774164386 0.144269991419931 0 0 0 0.00823045267489712 0 0.99656652360515 1 4 545 0 466 0.992714025500911 1 0.00902598794893591 0.0178779826413999 0.0181183561718119 0.0332296811170051 0.0284129016523383 0.320239210529046 NA -0.0624356332693393 NA 0.239300518066603 NA -0.00979518587087323 NA 0.851725428881444 NA 0.131735999471734 NA -0.981420685937444 -0.002928279961804 -0.0300683860193273 -7.18238725786369e-05 -0.0624651231936325 -0.00283061784422053 0.668655064919172 -0.0017848781609203 0.0944231081120391 0.999907693766184 -0.99529518817607 -0.00312441439660038
"1231097" 1000 10 0.0534022027401998 0.0161769227247935 0.499365 9 1.53087780533358e-06 22 0.972023304171284 0.897520480722931 NA NA 3131 472 32189 32548 32548 16243 472 0 0 0.0883982081917784 0.0133745801539686 0 0.0132221094336069 0 32661 0.422798636300532 NA 0.342752587536546 0.0453277644582161 0.766431121790912 0 0.548728813559322 NA 0.982665149588381 0.965457455321419 NA NA 259 0 14682 0 7239 0 0.0158529423561624 0.0323687186605995 NA NA 14941 0 0.445668903527673 0 0 NA 0 NA 1 NA 1 NA 0.0141784644625318 0.0276384389592946 NA NA 6 0 0 2 0 0 0.000123129963676661 0 0.98 0.02 0.843 0.157 0.999999746995373 -0.000711343227477595 0.000711343227477717 0.999999746995374 0.177046618689719 0.00655379241619005 0 0 0.0211864406779661 0.00211864406779661 0.991568296795953 0.99904671115348 10 533 1 479 0.98158379373849 0.997916666666667 0.0094526416891779 0.0186886941798106 0.0187024172765119 0.0328141353198301 0.0294896263005602 0.3301306272266 NA -0.042181291027725 NA 0.176442086478323 NA -0.00692467768428589 NA 0.864595460055949 NA 0.0580881462344097 NA -0.989598352378829 0.000367141672311356 -0.0362910695953092 -0.00761957325956031 -0.097869953380305 -0.000928693790438384 0.472233667341959 -0.0073323338374698 0.134513817920501 -0.999834820036129 -0.99008696730757 0.0034165070406707
"1231098" 1000 10 0.0581019773219957 0.0212045170568732 0.501054 6 6.39877143588431e-06 17 0.970856489219698 0.890874258859795 NA NA 1823 252 7562 7753 7753 3748 252 0 0 0.31917495987958 0.0160541506009724 0 0.0160796827482776 0 7814 0.404927393660363 NA 0.439211965201036 0.0505494508702865 0.831889209298191 0 0.551587301587302 NA 0.971227489132685 0.945146014206788 NA NA 139 0 4692 0 2395 0 0.0269915201974455 0.0532717443787349 NA NA 4831 0 0.639007470651014 0 0.036381712939614 NA 0.00396825396825397 NA 0.933333333333333 NA 0.8 NA 0.0352267397508483 0.0697459713556273 NA NA 15 0 1 4 0 0 0.00106723585912487 0 0.992 0.008 0.832 0.168 0.999959701411566 0.00897750259775535 -0.00897750259775522 0.999959701411565 0.333069867521834 0.0218162305978499 0 0 0.0793650793650794 0.00793650793650794 0.983402489626556 0.988700564971751 20 544 2 96 0.964539007092199 0.979591836734694 0.0249729395727076 0.0505179784638843 0.0506603571843966 0.145144076840982 0.0256136606189968 0.210782608801029 NA -0.0480269181188242 NA 0.202073636544615 NA 0.0198195846294843 NA 0.829087917005337 NA 0.110136246382684 NA -0.963119066850502 -0.00742841971937983 0.183975217320683 0.00822424070398705 -0.641275437638158 -0.00857982524361476 0.233557079917185 0.00107844516115573 0.789327124807941 0.997738967058348 0.59595333483938 0.058629339522031
"1231099" 1000 10 0.0765987281253069 0.0274645784608299 0.478131 3 2.02175407383446e-06 34 0.924744961142777 0.853094769622384 NA NA 2948 364 24367 25004 25004 12218 364 0 0 0.128214425594269 0.0193012719937091 0 0.0208605724506294 0 24731 0.299899601946788 NA 0.224171945667806 0.193598582243995 0.670749035325437 0 0.32967032967033 NA 0.979848866498741 0.954005366040629 1 1 120 0 5835 4329 2489 2061 0.0220515200794311 0.0594136044921766 NA NA 5955 4329 0.2037158291046 0.168685545915862 0.171352646901524 NA 0.00549450549450549 NA 0.818181818181818 NA 0 NA 0.0143284173878519 0.0291612751520262 NA NA 11 0 2 0 0 0 0 0 0.6 0.4 0.623 0.377 -0.935817302097309 0.352485428202798 -0.352485428202798 -0.93581730209731 0.335958417664459 9.13639585160328e-06 0 0 0.0247252747252747 0.00274725274725275 0.989117291414752 0.997826086956522 9 268 1 205 0.967509025270758 0.995145631067961 0.0141093611261485 0.0275740106660992 0.0200188333973526 0.0219348502209854 0.0167785234899329 0.276502508983017 NA -0.0255202463615013 NA 0.14778497536185 NA 0.0143615132993673 NA 0.815567567567567 NA 0.130598598598599 NA -0.918243956426973 0.336548172392215 -0.337885953891555 -0.910067809062492 0.154613486629151 -0.114471611020924 -0.0281417728225776 -0.031102917319438 -0.490612930237796 -0.971904766960051 0.870588136417456 -0.233844706111436
"1231100" 1000 10 0.0713805266583368 0.0220788255503075 0.477924 2 1.9364083497928e-06 95 0.932853884828165 0.862025291742419 NA NA 3096 381 25440 26808 26808 12673 381 0 0 0.119257101188701 0.0173685591068716 0 0.0158301986133889 0 25821 0.33235952525917 NA 0.283336904160641 0.156478249804608 0.621003243713988 0 0.330708661417323 NA 0.985309548793284 0.96987087517934 1 1 126 0 8451 2381 4056 1240 0.0172684697463362 0.0339008090790751 NA NA 8577 2381 0.320050501065257 0.0978458139351377 0 NA 0 NA NA NA NA NA 0.0139092562929249 0.0269281934894534 NA NA 0 0 0 0 0 0 0 0 0.689 0.311 0.604 0.396 0.991605990715216 0.129296400482346 -0.129296400482346 0.991605990715218 0.21602617275257 0.13028465630117 0 0 0.031496062992126 0.0131233595800525 0.993811242908716 0.996022275258552 12 1008 5 710 0.988235294117647 0.993006993006993 0.0107448612261483 0.0253781231470818 0.0193112058686343 0.0795391777795313 0.0560246192693127 0.329631164525487 NA -0.0460703141479037 NA 0.272053176256325 NA 0.0100497246377827 NA 0.814382382382382 NA 0.307443443443443 NA -0.940460571388811 -0.128049840609394 -0.170765018718702 0.78983193337076 -0.195680539051443 -0.0903833307542835 0.449017058743244 0.477547598700857 0.382088050650247 0.997189426012073 -0.920013013286779 0.0254150130917753
"1231101" 1000 10 0.0667302960313505 0.0241336796170816 0.484711 5 1.55758387589172e-06 NA 0.961806816584726 0.867315760954502 NA NA 3324 521 31580 31948 31948 15797 519 0 1 0.0786033974154636 0.0148109853148376 0 0.0149025319605408 0 32101 0.343608404242557 NA 0.24708529732462 0.140423852346562 0.663213178135763 0 0.385356454720617 NA 0.977673587854432 0.954914337240757 1 1 200 0 8758 1654 4236 794 0.0235264693199869 0.0464331557703896 NA NA 8958 1654 0.268152180793822 0.0502627081091346 0 NA 0 NA NA NA NA NA 0.0173784878161777 0.0351815346778887 NA NA 0 0 0 0 0 0 0 0 0.735 0.265 0.853 0.147 0.999968488404825 0.00793865211273658 -0.00793865211273725 0.999968488404826 0.121410576682185 0.00574372752851575 0 0 0.0134357005758157 0.00191938579654511 0.994704992435703 0.999163879598662 7 614 1 610 0.988727858293076 0.998363338788871 0.0114591912369534 0.0235303843926773 0.0206922744784606 0.0388681395201621 0.0386149268848516 0.401331647076328 NA -0.0403361560691506 NA 0.31076823024348 NA -0.0148464281015643 NA 0.811876311944537 NA 0.120310671604161 NA -0.9707554967936 -0.00374393515437547 0.000336350016888443 0.863952771040216 0.00607700886203369 -0.00479750778917656 -0.0406127835899031 -0.0235206186946831 -0.00703635355092232 0.99965100560871 0.990384962482139 0.00103916416692819
"1231102" 1000 10 0.0688567028166604 0.0254042912421516 0.479264 3 1.57922996746786e-06 22 0.958301891696006 0.864598564530904 NA NA 3293 524 31137 31461 31461 15519 524 0 0 0.0560227312207353 0.0174789190389543 0 0.0170984070086438 0 31661 0.293952045190351 NA 0.183348951410576 0.161478885404798 0.623157046494065 0 0.276717557251908 NA 0.966520434079889 0.921621621621622 1 1 145 0 4186 2819 1705 1405 0.0381165040781868 0.0832248162560937 NA NA 4331 2819 0.109865326374122 0.090534183903602 0.154364229102734 NA 0.00572519083969466 NA 0 NA 0 NA 0.0169069244170059 0.0335142008133839 NA NA 3 0 3 0 0 0 0 0 0.568 0.432 0.551 0.449 0.996866998477134 0.0790960640435965 -0.0790960640435966 0.996866998477136 0.22073207762784 0 0 0 0.017175572519084 0 0.992254733218589 1 9 450 0 495 0.980392156862745 1 0.0162387482965326 0.0299873362181053 0.0205419796375325 0.02899671370578 0.031896385076358 0.394751341906142 NA -0.0221269307329141 NA 0.237520887410283 NA -0.00263560090479667 NA 0.827627627627628 NA 0.0513353353353353 NA -0.977504147998262 -0.0731645915916592 -0.0766664035481698 0.972838168369502 0.0295530858882911 -0.02143596791589 -0.00937404183706337 0.0206112843925622 -0.108381920921979 0.997837850617031 0.992960264872882 0.0528485112395159
"1231103" 1000 10 0.0863936092476356 0.0337723110695896 0.464906 2 4.70101541933058e-06 16 0.9482320643835 0.844455322621046 NA NA 2249 330 10306 10523 10523 5111 330 0 0 0.161218994662513 0.0208789010779524 0 0.0206432016721181 0 10636 0.307350870390351 NA 0.232687522306381 0.218284386928916 0.647312823946433 0 0.351515151515152 NA 0.959397969898495 0.916726489590811 1 1 116 0 2741 2301 1277 1203 0.0428456269134769 0.0929389878512467 NA NA 2857 2301 0.249853257679515 0.235374682058306 0 NA 0 NA NA NA NA NA 0.0310565214924014 0.0591636813437281 NA NA 0 0 0 0 0 0 0 0 0.585 0.415 0.574 0.426 0.873316921823721 0.487152495689326 -0.487152495689327 0.873316921823723 0.163455741422687 0.0250543874947538 0 0 0.0212121212121212 0.0121212121212121 0.976666666666667 0.987654320987654 7 129 4 137 0.948529411764706 0.971631205673759 0.0244750950368738 0.0488020218239452 0.0463806929174515 0.0252396791234592 0.0268049305419683 0.302975039145252 NA -0.0287754257395186 NA 0.271137546915256 NA 0.0223206548595677 NA 0.787243243243243 NA 0.0431951951951952 NA -0.760596402048647 -0.528168273821017 0.574401055075382 -0.704422353712638 0.149124246540306 0.157541851886067 -0.275320697947028 -0.514490368919935 -0.723484640199237 -0.894822593439344 -0.687876954445236 0.444062644082501
