"i" "nloci" "Random_cor_RDAtemppredict_tempphen" "Random_cor_RDAsalpredict_salphen" "Random_cor_RDAtemppredict_tempphen_structcorr" "Random_cor_RDAsalpredict_salphen_structcorr" seed
"1" 10 0.47397578360589 NA 0.0422322745068024 NA 1231094
"2" 50 0.71515386902325 NA 0.0193133326459883 NA 1231094
"3" 100 0.797452249702351 NA -0.001635637272911 NA 1231094
"4" 500 0.832927760688866 NA -0.0392773165939302 NA 1231094
"5" 5000 0.85133018151212 NA -0.0333473807281255 NA 1231094
"6" 20000 0.853087941029397 NA -0.0354174528703409 NA 1231094
"1" 10 0.499725310611123 NA 0.0192992992992993 NA 1231095
"2" 50 0.693432929684043 NA 0.0378858858858859 NA 1231095
"3" 100 0.720432432432432 NA 0.0393673673673674 NA 1231095
"4" 500 0.83961961961962 NA 0.000436436436436436 NA 1231095
"5" 5000 0.861557557557557 NA 0.0141181181181181 NA 1231095
"6" 20000 0.866174174174174 NA 0.0247047047047047 NA 1231095
"1" 10 0.404708962803165 NA 0.0331771771771772 NA 1231096
"2" 50 0.680792792792793 NA 0.0597957957957958 NA 1231096
"3" 100 0.735975975975976 NA 0.0744744744744745 NA 1231096
"4" 500 0.788236236236236 NA 0.121313313313313 NA 1231096
"5" 5000 0.839631631631632 NA 0.12978978978979 NA 1231096
"6" 20000 0.845861861861862 NA 0.129277277277277 NA 1231096
"1" 10 0.402075360199949 NA 0.0213813813813814 NA 1231097
"2" 50 0.67396996996997 NA 0.0418938938938939 NA 1231097
"3" 100 0.715383383383383 NA 0.0268668668668669 NA 1231097
"4" 500 0.814642642642643 NA 0.0379419419419419 NA 1231097
"5" 5000 0.849777777777778 NA 0.0391631631631632 NA 1231097
"6" 20000 0.856600600600601 NA 0.0414974974974975 NA 1231097
"1" 10 0.632122141230321 NA -0.0662502502502502 NA 1231098
"2" 50 0.747696383301069 NA 0.0798518518518518 NA 1231098
"3" 100 0.79429029029029 NA 0.0678478478478478 NA 1231098
"4" 500 0.800752752752753 NA 0.11413013013013 NA 1231098
"5" 5000 0.828772772772773 NA 0.115663663663664 NA 1231098
"6" 7818 0.829705705705706 NA 0.115399399399399 NA 1231098
"1" 10 0.491212400026183 NA 0.0169329329329329 NA 1231099
"2" 50 0.560519079598959 NA 0.0462702702702703 NA 1231099
"3" 100 0.694666666666667 NA 0.108132132132132 NA 1231099
"4" 500 0.763231231231231 NA 0.118562562562563 NA 1231099
"5" 5000 0.81057057057057 NA 0.151587587587588 NA 1231099
"6" 20000 0.810966966966967 NA 0.156108108108108 NA 1231099
"1" 10 0.401704045950993 NA 0.0296176176176176 NA 1231100
"2" 50 0.558977536514331 NA 0.0652612612612612 NA 1231100
"3" 100 0.679247247247247 NA 0.136152152152152 NA 1231100
"4" 500 0.755967967967968 NA 0.234758758758759 NA 1231100
"5" 5000 0.795479479479479 NA 0.284920920920921 NA 1231100
"6" 20000 0.809481481481481 NA 0.296840840840841 NA 1231100
"1" 10 0.306476580569226 NA 0.0336656656656657 NA 1231101
"2" 50 0.5795995995996 NA 0.0265865865865866 NA 1231101
"3" 100 0.639743743743744 NA 0.0465105105105105 NA 1231101
"4" 500 0.745389389389389 NA 0.0727367367367367 NA 1231101
"5" 5000 0.7997997997998 NA 0.11413013013013 NA 1231101
"6" 20000 0.810586586586586 NA 0.116464464464464 NA 1231101
"1" 10 0.228363140605362 NA 0.00777577577577577 NA 1231102
"2" 50 0.469705705705706 NA 0.0181141141141141 NA 1231102
"3" 100 0.554474474474474 NA 0.0243603603603604 NA 1231102
"4" 500 0.738818818818819 NA 0.0429189189189189 NA 1231102
"5" 5000 0.815823823823824 NA 0.0353953953953954 NA 1231102
"6" 20000 0.828188188188188 NA 0.0386586586586587 NA 1231102
"1" 10 0.337860345898883 NA 0.0392952952952953 NA 1231103
"2" 50 0.587063063063063 NA 0.0507347347347347 NA 1231103
"3" 100 0.66205005005005 NA 0.0743063063063063 NA 1231103
"4" 500 0.775579579579579 NA 0.0648328328328328 NA 1231103
"5" 5000 0.790778778778779 NA 0.0591431431431431 NA 1231103
"6" 10627 0.789065065065065 NA 0.0593993993993994 NA 1231103
"1" 10 0.264567966772475 NA 0.0291451451451451 NA 1231104
"2" 50 0.614666666666667 NA 0.0696976976976977 NA 1231104
"3" 100 0.697425425425425 NA 0.0912632632632633 NA 1231104
"4" 500 0.773597597597597 NA 0.176740740740741 NA 1231104
"5" 5000 0.810738738738739 NA 0.196560560560561 NA 1231104
"6" 20000 0.817133133133133 NA 0.204124124124124 NA 1231104
"1" 10 0.374307716906811 NA 0.018994994994995 NA 1231105
"2" 50 0.512398911310478 NA 0.0749589589589589 NA 1231105
"3" 100 0.637409409409409 NA 0.0838518518518518 NA 1231105
"4" 500 0.757433433433433 NA 0.144736736736737 NA 1231105
"5" 5000 0.800700700700701 NA 0.179711711711712 NA 1231105
"6" 20000 0.808820820820821 NA 0.1841001001001 NA 1231105
"1" 10 0.336592754783155 NA 0.0203523523523523 NA 1231106
"2" 50 0.548096096096096 NA 0.0165485485485485 NA 1231106
"3" 100 0.662546546546546 NA 0.0452772772772773 NA 1231106
"4" 500 0.749537537537537 NA 0.0784984984984985 NA 1231106
"5" 5000 0.804116116116116 NA 0.123199199199199 NA 1231106
"6" 20000 0.815903903903904 NA 0.128948948948949 NA 1231106
"1" 10 0.249291800661328 NA 0.0287287287287287 NA 1231107
"2" 50 0.424660660660661 NA 0.0325325325325325 NA 1231107
"3" 100 0.562798798798799 NA 0.0379299299299299 NA 1231107
"4" 500 0.71386986986987 NA 0.0320800800800801 NA 1231107
"5" 5000 0.805677677677678 NA 0.0293693693693694 NA 1231107
"6" 20000 0.820824824824825 NA 0.0251651651651652 NA 1231107
"1" 10 0.501792642824245 NA 0.0232992992992993 NA 1231108
