"nloci" "Random_cor_RDAtemppredict_tempphen" "Random_cor_RDAsalpredict_salphen" "Random_cor_RDAtemppredict_tempphen_structcorr" "Random_cor_RDAsalpredict_salphen_structcorr" seed
"1" 10 0.576914676909004 NA 0.00967367367367367 NA 1231094
"2" 50 0.754318318318318 NA 0.00257057057057057 NA 1231094
"3" 100 0.796652652652653 NA 0.000904904904904905 NA 1231094
"4" 500 0.851547547547547 NA -0.0238438438438438 NA 1231094
"5" 5000 0.858674674674675 NA -0.0344344344344344 NA 1231094
"6" 20000 0.859203203203203 NA -0.0356116116116116 NA 1231094
"1" 10 0.573478479711562 NA 0.010954954954955 NA 1231095
"2" 50 0.705615026257723 NA 0.0198998998998999 NA 1231095
"3" 100 0.780496496496496 NA 0.0450850850850851 NA 1231095
"4" 500 0.827887887887888 NA 0.00706306306306306 NA 1231095
"5" 5000 0.865313313313313 NA 0.0171531531531532 NA 1231095
"6" 20000 0.868096096096096 NA 0.025001001001001 NA 1231095
"1" 10 0.542260549632541 NA 0.0392832832832833 NA 1231096
"2" 50 0.674618618618618 NA 0.0794154154154154 NA 1231096
"3" 100 0.708612612612613 NA 0.0702502502502502 NA 1231096
"4" 500 0.796684684684685 NA 0.121253253253253 NA 1231096
"5" 5000 0.840744744744745 NA 0.123883883883884 NA 1231096
"6" 20000 0.846570570570571 NA 0.12205005005005 NA 1231096
"1" 10 0.408057708838798 NA -0.00383983983983984 NA 1231097
"2" 50 0.629121121121121 NA 0.0329249249249249 NA 1231097
"3" 100 0.713553553553553 NA 0.0277637637637638 NA 1231097
"4" 500 0.81768968968969 NA 0.0280880880880881 NA 1231097
"5" 5000 0.85017017017017 NA 0.0523803803803804 NA 1231097
"6" 20000 0.860252252252252 NA 0.0533573573573574 NA 1231097
"1" 10 0.684374346513473 NA 0.0493453453453453 NA 1231098
"2" 50 0.754405394557183 NA 0.0790870870870871 NA 1231098
"3" 100 0.767281117532721 NA 0.0866506506506506 NA 1231098
"4" 500 0.806842842842843 NA 0.116364364364364 NA 1231098
"5" 5000 0.825897897897898 NA 0.117421421421421 NA 1231098
"6" 7809 0.829801801801802 NA 0.117245245245245 NA 1231098
"1" 10 0.470655740648185 NA 0.0442122122122122 NA 1231099
"2" 50 0.551675675675676 NA 0.0653933933933934 NA 1231099
"3" 100 0.67616016016016 NA 0.0977137137137137 NA 1231099
"4" 500 0.760808808808809 NA 0.125237237237237 NA 1231099
"5" 5000 0.812184184184184 NA 0.155375375375375 NA 1231099
"6" 20000 0.817105105105105 NA 0.155871871871872 NA 1231099
