"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.501 0.533 0.495 0.504 0.213 0.021 0.338 0.25 145 160 1231094
0.505 0.535 0.502 0.497 0 0.032 0.412 0.14 205 169 1231095
0.499 0.535 0.516 0.491 0 0.037 0.273 0.112 257 227 1231096
0.499 0.535 0.504 0.491 0 0.022 0.193 0.325 259 213 1231097
0.501 0.53 0.52 0.509 0.022 0.009 0.364 0.29 139 113 1231098
0.478 0.527 0.477 0.481 0.095 0.035 0.193 0.271 152 212 1231099
0.478 0.523 0.46 0.383 0 0.07 0.15 0.304 156 225 1231100
0.485 0.531 0.481 0.452 0 0.054 0.171 0.375 222 297 1231101
0.479 0.529 0.484 0.373 0.075 0.117 0.085 0.436 182 342 1231102
0.465 0.516 0.505 0.49 0 0.021 0.295 0.305 168 162 1231103
0.478 0.527 0.527 0.482 0.101 0.08 0.147 0.362 105 273 1231104
0.474 0.52 0.461 0.385 0.041 0.06 0.149 0.293 112 273 1231105
0.489 0.533 0.489 0.441 0.018 0.056 0.131 0.403 186 311 1231106
0.477 0.53 0.486 0.355 0 0.14 0.058 0.406 118 408 1231107
0.477 0.522 0.507 0.479 0.039 0.031 0.223 0.409 140 161 1231108
0.501 0.599 0.565 0.474 0.166 0.084 0.232 0.289 223 265 1231109
0.493 0.585 0.532 0.407 0.104 0.117 0.317 0.248 275 317 1231110
0.502 0.612 0.58 0.424 0.11 0.121 0.303 0.315 349 367 1231111
0.498 0.596 0.555 0.425 0.166 0.102 0.269 0.348 314 364 1231112
0.512 0.601 0.581 0.493 0.076 0.057 0.351 0.25 237 226 1231113
0.566 0.618 0.606 0.561 0.097 0.066 0.2 0.362 211 232 1231114
0.572 0.625 0.6 0.537 0.037 0.063 0.277 0.31 214 254 1231115
0.571 0.624 0.594 0.525 0.073 0.086 0.212 0.448 273 400 1231116
0.571 0.628 0.605 0.524 0.085 0.102 0.114 0.492 243 404 1231117
0.566 0.616 0.594 0.563 0.111 0.04 0.358 0.267 192 165 1231118
0.564 0.643 0.613 0.296 0.019 0.178 0.146 0.468 149 381 1231119
0.557 0.634 0.613 0.324 0.124 0.147 0.206 0.382 145 365 1231120
0.566 0.645 0.608 0.41 0.085 0.186 0.114 0.455 214 490 1231121
0.567 0.647 0.595 0.365 0.087 0.241 0.053 0.549 145 580 1231122
0.556 0.635 0.613 0.428 0.032 0.153 0.23 0.452 144 264 1231123
0.317 0.395 0.384 0.293 0.08 0.094 0.213 0.201 228 318 1231124
0.32 0.388 0.342 0.21 0.106 0.131 0.181 0.132 297 339 1231125
0.322 0.398 0.372 0.244 0.058 0.121 0.151 0.154 371 430 1231126
0.319 0.402 0.379 0.233 0.085 0.147 0.146 0.257 355 443 1231127
0.328 0.397 0.39 0.3 0.078 0.098 0.252 0.186 213 200 1231128
0.403 0.433 0.407 0.392 0.012 0.048 0.119 0.21 195 310 1231129
0.407 0.436 0.421 0.38 0.07 0.052 0.229 0.296 213 325 1231130
0.409 0.441 0.425 0.359 0.111 0.089 0.183 0.31 296 444 1231131
0.404 0.433 0.407 0.335 0 0.088 0.086 0.328 235 466 1231132
0.401 0.429 0.413 0.383 0 0.012 0.263 0.124 177 119 1231133
0.419 0.466 0.449 0.205 0.095 0.228 0.104 0.398 113 425 1231134
0.415 0.463 0.435 0.269 0.038 0.167 0.125 0.323 138 453 1231135
0.418 0.473 0.457 0.24 0.082 0.206 0.061 0.368 204 578 1231136
0.414 0.476 0.455 0.263 0.1 0.225 0.049 0.421 139 639 1231137
0.406 0.464 0.429 0.288 0.086 0.137 0.191 0.332 126 290 1231138
0.489 0.594 0.564 0.474 0.035 0.093 0.292 0.266 164 196 1231139
0.484 0.593 0.534 0.434 0.073 0.112 0.258 0.281 204 279 1231140
0.492 0.598 0.539 0.43 0.075 0.101 0.24 0.27 272 280 1231141
0.487 0.596 0.519 0.399 0.068 0.142 0.233 0.29 230 308 1231142
0.501 0.587 0.552 0.397 0.043 0.092 0.308 0.214 160 147 1231143
0.563 0.631 0.609 0.558 0.024 0.076 0.275 0.419 135 168 1231144
0.565 0.625 0.573 0.524 0.051 0.066 0.212 0.353 151 201 1231145
0.57 0.635 0.587 0.505 0.035 0.103 0.223 0.379 203 246 1231146
0.563 0.628 0.579 0.491 0.013 0.099 0.132 0.449 181 270 1231147
0.555 0.616 0.596 0.552 0.07 0.065 0.192 0.398 161 151 1231148
0.553 0.638 0.592 0.367 0.093 0.19 0.141 0.481 109 250 1231149
0.554 0.637 0.594 0.292 0.04 0.243 0.162 0.431 111 275 1231150
0.564 0.641 0.586 0.36 0.009 0.215 0.194 0.423 158 358 1231151
0.556 0.644 0.587 0.301 0 0.264 0.07 0.509 107 446 1231152
0.553 0.635 0.61 0.341 0.097 0.173 0.091 0.507 108 213 1231153
0.322 0.404 0.381 0.26 0.012 0.11 0.185 0.221 194 276 1231154
0.325 0.404 0.357 0.226 0.055 0.123 0.181 0.163 244 321 1231155
0.317 0.403 0.371 0.216 0.013 0.148 0.185 0.204 354 371 1231156
0.322 0.411 0.366 0.197 0.023 0.168 0.146 0.222 293 395 1231157
0.316 0.388 0.369 0.268 0.035 0.1 0.196 0.113 205 198 1231158
0.401 0.437 0.428 0.371 0 0.075 0.184 0.283 172 227 1231159
0.403 0.44 0.412 0.341 0 0.096 0.182 0.3 173 271 1231160
0.404 0.444 0.398 0.285 0 0.142 0.139 0.303 225 365 1231161
