seed mutID muttype p cor_sal cor_temp mutSalEffect mutTempEffect
1231217 206990 m2 0.02345 -0.0271065 0.277522 0.0454235 -0.0194673
1231217 298884 m2 0.0532 -0.00382614 0.730877 -0.0260959 0.0277506
1231217 88451 m2 0.01345 0.251093 0.515545 0.0799571 -0.0253064
1231217 655729 m2 0.01925 -0.0934017 0.649503 -0.0242092 -0.00237304
1231217 201334 m2 0.09295 -0.0328477 0.674054 -0.0181389 0.0474204
1231217 436501 m2 0.0306 0.188709 -0.0493153 0.0865644 0.0159589
1231217 25304 m2 0.0956 0.0648613 0.662746 0.00643362 0.00263657
1231217 420407 m2 0.01155 0.142974 0.485506 -0.00424785 0.0409208
1231217 544150 m2 0.0501 -0.119237 0.693037 0.0011326 0.0033387
1231217 484532 m2 0.12815 -0.0620349 0.754177 -0.0192809 0.0531764
1231217 218121 m2 0.03815 0.0389875 0.360701 0.00945605 0.0530859
1231217 746376 m2 0.0151 0.0168088 0.542239 -0.0144675 0.0329468
1231217 681764 m2 0.02475 0.0214921 0.580869 0.00437767 -0.0049055
1231217 206981 m2 0.05145 0.0897821 0.683469 0.0335837 -0.033474
1231217 644117 m2 0.0233 0.00580117 0.535723 0.058652 0.031746
1231217 768132 m2 0.0123 -0.0994635 0.494522 -0.0143152 -0.0223417
1231217 570431 m2 0.03165 -0.0592455 0.599952 -0.0281316 0.0141139
1231217 762767 m2 0.01455 0.137379 0.466088 -0.0133556 -0.0322857
1231217 315306 m2 0.0312 -0.126053 0.477735 -0.0842097 0.00699761
1231217 272657 m2 0.2185 0.00260918 0.82834 -0.024061 0.0440324
1231217 474912 m2 0.02125 -0.0414769 0.57129 -0.00896685 0.0100826
1231217 18489 m2 0.22155 0.0546171 0.818255 0.0391828 0.00926297
1231217 392465 m2 0.05935 -0.15035 0.631013 -0.0687837 0.047878
1231217 682874 m2 0.024 -0.0619617 0.497925 -0.0297537 0.0423011
1231217 606715 m2 0.0188 -0.189326 0.602156 -0.02787 -0.0112995
1231217 618946 m2 0.03815 -0.0724496 0.602059 0.0419783 0.00688764
1231217 270175 m2 0.0203 -0.210044 0.565569 -0.0429387 0.0517004
1231217 600739 m2 0.01275 -0.0238369 0.492644 -0.00716588 0.0153864
1231217 661709 m2 0.0478 0.0545003 0.630461 0.00199599 0.0320223
1231217 337842 m2 0.0484 0.227853 0.686534 0.0338894 0.0215321
1231217 526732 m2 0.03055 -0.0466286 0.612964 -0.0070209 -0.0214896
1231217 779079 m2 0.0213 -0.079223 0.475679 -0.0393965 0.0567594
1231217 585291 m2 0.08455 0.13267 0.717338 0.0370477 0.0113765
1231217 433521 m2 0.0342 -0.0791389 0.652157 -0.0029548 0.0551947
1231217 394402 m2 0.05165 -0.0561604 0.631697 0.0258496 0.0102575
1231217 315601 m2 0.0537 -0.104394 0.701775 -0.00466806 -0.00643109
1231217 440562 m2 0.01875 -0.111477 0.555559 -0.0219044 0.00433023
1231217 283577 m2 0.02945 0.110222 0.521766 0.0382119 0.0306339
