seed mutID muttype p cor_sal cor_temp mutSalEffect mutTempEffect
1231094 63406 m2 0.0136952 0.105778 0.566112 0 0.000433734
1231094 354470 m2 0.0397908 0.0102113 -0.541143 0 0.0159471
1231094 309977 m2 0.156076 -0.0450737 0.889354 0 0.0165636
1231094 619031 m2 0.0184263 0.102166 0.606285 0 0.00480719
1231094 450696 m2 0.0255478 0.0107233 -0.0881976 0 0.0491541
1231094 688644 m2 0.0230578 0.0971582 0.400734 0 -0.00195854
1231094 393917 m2 0.137301 0.0578365 0.892353 0 -0.000490732
1231094 674382 m2 0.013745 0.0772353 0.434301 0 0.00749796
1231094 703495 m2 0.0138944 0.134447 0.575467 0 0.0348831
1231094 595709 m2 0.0170817 0.0382943 0.59244 0 -0.020185
1231094 325240 m2 0.169821 0.0123638 0.862307 0 0.0433761
1231094 290095 m2 0.063247 0.127569 -0.810841 0 0.0225952
1231094 500532 m2 0.109213 -0.071476 0.821603 0 -0.0059308
1231094 495042 m2 0.0215637 -0.0802994 0.278891 0 -0.0112603
1231094 668237 m2 0.0121514 0.0452177 0.530009 0 -0.00830307
1231094 664797 m2 0.0116036 -0.243881 0.432929 0 0.0474758
1231094 426463 m2 0.0418825 0.140329 0.67373 0 0.0895779
1231094 687153 m2 0.0336155 -0.114447 0.666334 0 -0.00383323
1231094 290092 m2 0.162998 0.0846883 0.852569 0 0.0250238
1231094 494033 m2 0.0912849 0.195626 0.523445 0 0.0370486
1231094 604204 m2 0.0298307 -0.15169 0.469518 0 -0.00274789
1231094 488208 m2 0.0613546 -0.0507195 0.816831 0 0.0139483
1231094 280507 m2 0.0195219 0.0758425 0.358196 0 0.0217464
1231094 324231 m2 0.0353088 -0.110384 0.0557556 0 0.0371328
1231094 588646 m2 0.0257968 0.192422 0.447534 0 -0.00206362
1231094 581650 m2 0.0470618 -0.0740164 0.487004 0 0.00850145
1231094 637640 m2 0.0102092 -0.117794 0.484372 0 0.0185732
1231094 633361 m2 0.0114044 0.190282 0.380115 0 -0.0149116
1231094 267824 m2 0.302839 0.0749908 0.858293 0 0.0236031
1231094 659040 m2 0.039492 -0.0168055 0.648995 0 0.0158187
1231094 57426 m2 0.0260956 -0.00335516 -0.327858 0 0.00462841
1231094 591935 m2 0.0317231 0.231258 0.152863 0 0.0259367
1231094 367792 m2 0.0531375 0.0886436 0.714834 0 0.0924286
1231094 559284 m2 0.0146912 -0.00628009 0.11255 0 0.0413689
1231094 101018 m2 0.0583665 0.208701 -0.105817 0 0.0148922
1231094 80787 m2 0.10508 -0.0079734 0.668775 0 -0.00262634
1231094 443871 m2 0.104831 -0.00451732 -0.188475 0 -0.0195192
1231094 496054 m2 0.0139442 0.193751 0.197119 0 -0.0165122
1231094 687395 m2 0.0330677 0.385572 0.410185 0 -0.0465627
1231094 482341 m2 0.0445717 0.0750808 0.666961 0 0.08851
1231094 694590 m2 0.0168327 0.1317 0.427691 0 -0.000454548
1231094 614166 m2 0.0171813 0.0600903 0.225007 0 -0.0192298
1231094 612261 m2 0.105428 -0.0305995 0.791374 0 -0.00114147
1231094 194674 m2 0.1126 0.104928 0.861257 0 0.0376141
1231094 495535 m2 0.0223108 -0.136586 0.16264 0 -0.0202947
1231094 583875 m2 0.010757 0.155076 0.196953 0 -0.0284265
1231094 702400 m2 0.0175299 -0.161401 0.401451 0 0.051785
1231094 667944 m2 0.0294323 -0.122898 0.624541 0 0.0245202
1231094 725871 m2 0.0238546 0.375865 0.525629 0 -0.0158839
1231094 264216 m2 0.0585159 0.0605498 0.804413 0 0.0722134
1231094 704743 m2 0.0244522 -0.134377 0.252887 0 0.0252343
1231094 309210 m2 0.0786355 -0.222421 0.2599 0 0.00669992
1231094 496768 m2 0.0184263 0.152519 0.636566 0 -0.00470662
1231094 692820 m2 0.0219622 0.186865 0.480026 0 -0.0104094
1231094 523717 m2 0.0709163 0.0547242 0.302161 0 -0.00499325
1231094 385350 m2 0.0924303 0.143241 0.663767 0 -0.00163597
1231094 547720 m2 0.0285857 0.0995743 -0.290706 0 -0.0146283
1231094 633615 m2 0.0166833 0.174601 0.588423 0 -0.00852319
1231094 564498 m2 0.0381474 0.1151 0.490759 0 -0.0095989
1231094 675641 m2 0.0219622 0.00682132 0.316358 0 -0.04866
1231094 38778 m2 0.0551295 0.106973 0.0520184 0 0.0182572
1231094 46798 m2 0.0413845 -0.282678 -0.436939 0 0.00578037
1231094 513575 m2 0.102341 0.0981124 0.789868 0 0.0180504
1231094 637123 m2 0.011006 0.0223709 0.383285 0 -0.00682042
1231094 269024 m2 0.0184263 -0.134767 0.499374 0 0.0109727
1231094 543229 m2 0.036255 0.238757 0.768778 0 0.00177153
1231094 378975 m2 0.025498 -0.0625407 -0.318703 0 0.00623206
1231094 451423 m2 0.0191235 0.04719 0.612756 0 0.0154244
1231094 555525 m2 0.0682271 0.0681011 0.484653 0 0.00439288
1231094 500964 m2 0.0432271 -0.00903479 0.715489 0 -0.0477376
1231094 335077 m2 0.0229084 -0.0993173 0.395457 0 0.0325214
1231094 706234 m2 0.0408865 0.124479 0.583927 0 0.000678086
1231094 189447 m2 0.106275 -0.00393049 0.713043 0 0.032911
1231094 340357 m2 0.0893426 -0.027181 -0.783301 0 -0.0113708
1231094 695841 m2 0.0450697 0.0281714 0.409932 0 -0.0254599
1231094 298186 m2 0.106076 0.0170131 0.805161 0 0.0411912
1231094 666256 m2 0.0890438 0.0016603 0.778076 0 0.0391641
1231094 692802 m2 0.0260458 -0.0339558 0.493494 0 0.043551
1231094 658447 m2 0.0174801 -0.0906509 0.358418 0 0.0442773
1231094 110932 m2 0.0439243 0.208193 0.643351 0 -0.0373749
1231094 674868 m2 0.0105578 0.0970063 0.302861 0 0.0047179
1231094 554536 m2 0.0146414 0.0348479 0.472385 0 0.0253509
1231094 422733 m2 0.0226096 -0.0271583 0.268956 0 -0.0194505
1231094 5007 m2 0.0919323 -0.0361432 -0.642472 0 -0.000487032
1231094 255730 m2 0.0322709 -0.0945079 0.430213 0 0.0251321
1231094 664250 m2 0.0202191 0.00104755 0.430311 0 -0.0268616
1231094 504839 m2 0.0167331 -0.137693 0.0583337 0 0.0153502
1231094 339864 m2 0.182769 0.0434706 0.924942 0 0.0149963
1231094 48003 m2 0.153685 -0.25333 0.515018 0 0.0143418
1231094 652953 m2 0.0265936 -0.152139 0.432523 0 -0.0271326
1231094 369250 m2 0.014243 0.0522837 0.136976 0 0.0347835
1231094 509458 m2 0.0689741 0.1788 0.659477 0 -0.0608251
1231094 628026 m2 0.0157869 0.236872 0.372546 0 -0.00444954
1231094 48583 m2 0.086255 0.218824 0.541506 0 -0.00842329
1231094 697397 m2 0.0195717 0.00388603 0.571835 0 -0.0148946
1231094 190404 m2 0.0725598 -0.171439 0.197831 0 0.0054532
1231094 618729 m2 0.0310757 0.00609909 0.261319 0 -0.014564
1231094 693317 m2 0.0103586 0.0482922 0.167751 0 -0.00709971
1231094 384044 m2 0.1001 0.00788613 0.824609 0 0.0122766
1231094 634570 m2 0.025996 0.208707 0.460565 0 0.0255967
1231094 697667 m2 0.0130976 -0.141928 -0.125121 0 0.00295498
1231094 435917 m2 0.012251 0.00393336 0.21287 0 0.0471457
1231094 309176 m2 0.108715 -0.00864014 0.821944 0 0.0313213
1231094 617476 m2 0.0483068 -0.203591 0.49006 0 0.0123118
1231094 49053 m2 0.0198207 -0.22387 0.241869 0 -0.0107617
1231094 55314 m2 0.0419323 -0.0100323 -0.346757 0 0.00676387
1231094 379192 m2 0.124502 -0.0396573 0.60078 0 0.00280165
1231094 668699 m2 0.0132968 0.021778 0.427535 0 0.0326953
1231094 610024 m2 0.0619024 -0.125718 0.74777 0 0.00183083
1231094 607233 m2 0.0185757 -0.045299 0.0732751 0 0.0179981
1231094 102445 m2 0.037251 -0.101074 0.0146604 0 -0.000181338
1231094 112179 m2 0.169671 -0.0113059 0.222316 0 0.00286731
1231094 521178 m2 0.0332171 0.119767 0.45306 0 0.00983896
1231094 471692 m2 0.0709163 0.0377513 0.800512 0 -0.00613256
1231094 622246 m2 0.0162849 0.220579 0.495741 0 0.000676616
1231094 564229 m2 0.0192231 -0.117239 -0.388038 0 0.00174848
1231094 87359 m2 0.0305777 -0.0197114 0.090135 0 0.0122242
1231094 293378 m2 0.0530378 0.124734 -0.653292 0 0.00154594
1231094 552777 m2 0.0280876 0.00530763 0.259865 0 9.40893e-06
1231094 464365 m2 0.0293327 0.0893597 0.698198 0 0.0236695
1231094 163442 m2 0.147809 0.000815588 -0.0628337 0 -0.0160827
1231094 379940 m2 0.0794821 -0.300885 0.33425 0 0.0262383
1231094 662189 m2 0.012749 -0.0734003 0.0683031 0 -0.00100481
1231094 569491 m2 0.0140438 -0.0146424 0.348948 0 0.0018059
1231094 303116 m2 0.107321 -0.102961 -0.363213 0 0.00420913
1231094 518633 m2 0.0768426 0.0457486 0.0267277 0 -0.0280705
1231094 601373 m2 0.010259 -0.0758609 0.0598751 0 -0.0170599
1231094 210056 m2 0.386803 0.0365213 0.944613 0 0.0521341
1231094 728328 m2 0.013496 -0.0352378 0.165746 0 -0.0179888
1231094 623734 m2 0.0106076 0.073099 0.31425 0 -0.01646
1231094 618204 m2 0.0456673 0.0156508 -0.392294 0 -0.00706853
1231094 321637 m2 0.0858566 0.0506411 0.0276683 0 0.013533
1231094 568166 m2 0.0106574 -0.101493 -0.0103621 0 -0.0521578
1231094 85394 m2 0.0673805 0.0833987 -0.0594081 0 0.00141023
1231094 110648 m2 0.0290837 0.0840597 0.664743 0 0.0266786
1231094 31549 m2 0.104831 0.111582 -0.802792 0 -0.00659121
1231094 542195 m2 0.0246016 -0.11772 0.538432 0 0.0174994
1231094 516260 m2 0.0187251 -0.0243772 0.0730552 0 -0.00931493
1231094 649663 m2 0.0148904 0.0806893 0.23663 0 -0.0030625
1231094 284453 m2 0.371165 -0.0343002 -0.950921 0 -0.0150924
1231094 664213 m2 0.0243526 0.0615986 -0.0573986 0 0.0113721
1231094 443535 m2 0.0177789 -0.0396267 0.0553657 0 -0.0252031
1231094 653866 m2 0.0361554 0.0360694 0.136898 0 0.0184973
1231094 605893 m2 0.0144422 -0.0726491 0.0255124 0 0.0124131
1231094 82635 m2 0.059512 -0.184389 0.265668 0 0.0193292
1231094 723816 m2 0.0208167 -0.0757811 0.0470164 0 -0.0189635
1231094 643299 m2 0.01001 0.0834266 0.140635 0 0.050165
1231094 573025 m2 0.0784861 0.0268765 0.083381 0 0.0151978
1231094 615139 m2 0.0163845 0.0429125 0.146955 0 -0.017615
1231094 641038 m2 0.0123008 -0.131784 0.206991 0 0.0134317
1231094 714047 m2 0.0119522 -0.0518039 0.10719 0 0.0372063
1231094 547373 m2 0.0609562 -0.00339264 0.111945 0 0.0157663
1231094 676775 m2 0.0146912 -0.0375003 0.0394078 0 -0.0136885
1231094 623466 m2 0.0267928 -0.0295704 -0.0457675 0 -0.00206772
1231094 455306 m2 0.0103088 0.0298128 0.041311 0 0.0105488
1231094 298611 m2 0.0539343 0.138847 0.107586 0 0.0225264
1231094 356121 m2 0.211952 0.00774218 0.916538 0 0.0114208
1231094 496681 m2 0.0126494 0.00131088 0.181142 0 -0.0246866
1231094 685030 m2 0.0110558 -0.125244 -0.199953 0 -0.0314671
1231094 182677 m2 0.0629482 -0.20896 0.461821 0 -0.00391628
1231094 582038 m2 0.0660857 -0.031079 -0.737786 0 -0.0364714
1231094 419434 m2 0.0105578 0.243871 -0.180605 0 -0.00534971
1231094 514717 m2 0.0101096 0.122538 -0.226108 0 -0.0263855
1231094 69561 m2 0.090239 -0.0380056 -0.120458 0 -0.0223164
1231094 144724 m2 0.200249 -0.015074 -0.871919 0 0.00799514
1231094 396021 m2 0.0276394 -0.0567247 -0.0884268 0 0.0218463
1231094 102629 m2 0.233217 -0.00636085 0.859532 0 0.0181107
1231094 589022 m2 0.0152888 -0.0624571 -0.0142909 0 -0.051076
1231094 316483 m2 0.0199701 0.0975041 -0.14534 0 -0.0106511
1231094 697039 m2 0.0133466 -0.0296696 0.271815 0 0.0106759
1231094 632248 m2 0.0171813 -0.0322718 0.0645882 0 0.000208558
1231094 493195 m2 0.0156873 0.103413 0.571727 0 -0.0122474
1231094 6092 m2 0.385508 -0.0128978 -0.964182 0 -0.0252456
1231094 537977 m2 0.0161853 0.234167 -0.388874 0 -0.0319593
1231094 327919 m2 0.0129482 0.298749 -0.564702 0 0.00812661
1231094 431790 m2 0.051245 -0.0191392 0.0800958 0 -0.00759423
1231094 302359 m2 0.0682271 0.209781 0.324862 0 0.00700377
1231094 459192 m2 0.0241036 0.0708382 -0.077092 0 -0.00989263
1231094 249300 m2 0.114193 0.108619 -0.64224 0 0.00778735
1231094 610419 m2 0.013496 -0.131452 -0.136499 0 -0.0122956
1231094 664962 m2 0.0225598 0.247097 -0.635412 0 0.0106405
1231094 270441 m2 0.0247012 -0.0892099 -0.300173 0 -0.0158894
1231094 416604 m2 0.0736056 -0.0197853 -0.256426 0 -0.00426442
1231094 204508 m2 0.186006 -0.0730829 -0.7179 0 -0.016775
1231094 520320 m2 0.0338645 -0.0318091 -0.325324 0 0.000366059
1231094 191993 m2 0.187699 0.00587417 0.906244 0 0.0418109
1231094 199066 m2 0.123456 0.00715672 -0.882915 0 -0.0196981
1231094 717454 m2 0.0175797 -0.0628122 0.0739169 0 0.0642559
1231094 521338 m2 0.0161853 0.0983751 -0.653005 0 -0.0987753
1231094 675734 m2 0.0379482 -0.0892254 -0.0765505 0 -0.0160149
1231094 563898 m2 0.0437749 0.0826122 -0.136649 0 0.0388126
1231094 646805 m2 0.011504 -0.182956 0.195654 0 0.0338156
1231094 599768 m2 0.0561255 0.128039 0.161785 0 0.00628865
1231094 650597 m2 0.0109562 0.0869175 0.0969758 0 -0.0226609
1231094 527488 m2 0.0201693 0.130395 0.541733 0 0.059355
1231094 396766 m2 0.012998 0.10891 -0.108013 0 -0.0467886
1231094 586935 m2 0.0866036 -0.0565824 -0.277317 0 -0.0346325
1231094 522594 m2 0.0943227 -0.0528271 -0.549955 0 0.0273845
1231094 490382 m2 0.0381474 0.0733175 0.5221 0 -0.0241524
1231094 638950 m2 0.0105578 0.245612 -0.482791 0 0.0188343
1231094 629645 m2 0.0171813 -0.104759 -0.333637 0 -0.0403069
1231094 713531 m2 0.013994 -0.0846543 -0.0589829 0 -0.0454696
1231094 584000 m2 0.0109562 -0.138443 -0.0628306 0 0.0293401
1231094 722264 m2 0.0163845 -0.0895571 -0.0612726 0 0.0192382
1231094 381129 m2 0.140588 -0.0728956 -0.859638 0 -0.0171669
1231094 503934 m2 0.0453685 -0.0499648 -0.283448 0 0.0162178
1231094 115278 m2 0.16001 -0.0710105 -0.865481 0 -0.00747628
1231094 373870 m2 0.122261 -0.0810107 -0.844723 0 -0.0270779
1231094 725244 m2 0.0148904 0.192542 0.0281073 0 -0.00786376
1231094 14155 m2 0.163197 -0.00481012 -0.670278 0 -0.000499297
1231094 632980 m2 0.0135956 0.0200613 -0.497246 0 -0.0071165
1231094 616848 m2 0.0833167 0.00102829 0.563942 0 0.0126307
1231094 603566 m2 0.0412849 -0.132068 0.0579968 0 0.0209834
1231094 209676 m2 0.0283865 0.201736 0.395888 0 0.0230863
1231094 663088 m2 0.0704681 0.177118 -0.694731 0 -0.00407656
1231094 597759 m2 0.0166833 0.0152071 0.00313455 0 -0.0267711
1231094 112810 m2 0.221315 -0.0942377 -0.689038 0 0.0114493
1231094 572973 m2 0.0200697 -0.0560977 0.217062 0 0.0303706
1231094 216176 m2 0.0329681 0.239319 0.414174 0 -0.00681009
1231094 655555 m2 0.035259 0.0697411 -0.312193 0 -0.00463024
1231094 576158 m2 0.0683267 0.0807134 -0.733711 0 -0.000587952
1231094 571657 m2 0.0313745 0.180341 0.030183 0 0.0211608
1231094 349714 m2 0.0806275 0.217737 -0.0391519 0 -0.00795521
1231094 636968 m2 0.012998 -0.0819536 -0.281892 0 0.0196191
1231094 679149 m2 0.0294821 0.104735 -0.272522 0 0.0113547
1231094 666117 m2 0.0103586 -0.0550014 -0.105445 0 -0.0612421
1231094 667755 m2 0.0140936 -0.0636598 -0.134855 0 0.0179394
1231094 447284 m2 0.0340637 -0.00722994 -0.398026 0 0.00493385
