seed mutID muttype p mut1-mat-Effect mut2-MTWetQ-Effect mut3_MTDQ-Effect mut4_PDM-Effect mut5_PwarmQ-Effect mut6_PWM-Effect
892657863 991 m2 0.02443 -0.0641048 -0.217759 0.0815498 0.147042 -0.077174 0.056483
892657863 987 m2 0.0128548 -0.188295 -0.0365598 0.0570135 0.104074 -0.0601834 -0.0418681
892657863 993 m2 0.0983015 0.00857236 -0.123488 -0.0485841 0.016944 -0.0228422 -0.0475676
892657863 998 m2 0.00645649 0.078266 -0.153776 0.0120933 0.135134 -0.00400435 -0.0298578
892657863 1006 m2 0.0126803 -0.0598664 -0.0364435 0.101911 0.054691 -0.00824815 0.0261093
892657863 1021 m2 0.0326896 0.0709772 -0.114608 -0.0709294 -0.0437185 -0.0639617 -0.161825
892657863 79 m2 0.00680549 -0.0155208 0.0126173 0.0218275 0.0868923 -0.0470141 0.0275256
892657863 1165 m2 0.0702071 0.183121 0.0767659 -0.123398 0.103982 -0.130247 -0.0588288
892657863 1011 m2 0.00564216 0.0246157 -0.0172395 -0.107321 0.0907914 -0.112038 0.00496261
892657863 1013 m2 0.00721266 -0.0451242 -0.14713 -0.077088 -0.0352014 -0.0639132 0.00229751
892657863 1014 m2 0.0458353 0.0566748 -0.101005 0.0467338 -0.0398593 -0.0742134 -0.0676201
892657863 136511 m2 5.81666e-05 0.0225147 -0.188849 -0.0162443 0.0278755 -0.0336961 0.0460558
892657863 1024 m2 0.0456026 -0.110387 0.00763848 0.0295232 0.0428893 -0.0655582 0.0561806
892657863 104381 m2 0.00325733 0.0927718 0.107362 0.112025 -0.105067 -0.144843 0.0388783
892657863 1149 m2 0.0650884 0.0120509 -0.0801299 0.000948371 0.168335 -0.0497222 0.0210035
892657863 136510 m2 5.81666e-05 -0.10012 -0.0572285 -0.041723 -0.0871723 -0.100708 -0.0122002
892657863 1463 m2 0.00424616 -0.0641365 -0.051633 -0.11751 -0.0617321 0.0488106 -0.0394365
892657863 1179 m2 0.0397859 0.120618 -0.0593677 -0.151623 -0.0817233 -0.0567598 -0.0571976
892657863 126976 m2 0.0001745 -0.106512 0.00810301 -0.0554105 -0.0759391 0.106042 -0.0151455
892657863 1249 m2 0.0273383 -0.170885 0.0382394 -0.0629067 0.251928 0.067538 0.0229841
892657863 136054 m2 5.81666e-05 -0.0903013 -0.0775666 -0.113595 0.168537 0.0289238 0.146666
892657863 1107 m2 0.0856794 0.125003 -0.0944025 0.145882 0.088157 0.0572115 0.205014
892657863 1131 m2 0.0551419 -0.104673 -0.171518 -0.0431554 -0.0448093 -0.00121095 0.0110391
892657863 7155 m2 0.0437994 -0.0309553 -0.0681774 -0.0623798 -0.00942592 0.0148366 0.0749319
